id,powiat,populacja_ogolem,populacja_produkcyjna,stadiony,hale_sportowe,sale_gimnastyczne,korty_tenisowe,plywalnie,wodociagi,drogi_utwardzone,drogi_gruntowe,gaz,technika_zawodowki,sciezki_rowerowe_na_obszar,sciezki_rowerowe_na_ludnosc,przystanki_zbiorkom,licea,kanalizacja,wynagrodzenia,odbior_odpadow,koszty_odpadow,szkoly_podstawowe
1,"Powiat bolesławiecki",89762,53992,23,1,0,3,2,88295,48.0,69.7,6.5,9.4,45587,25,437.3,6.35,422,5,74908,4887.95,0.0,0.00,35,
2,"Powiat dzierżoniowski",99935,58574,6,4,3,16,1,93979,101.8,48.7,37.4,17.9,78893,27,1222.5,5.85,368,4,72342,4690.20,0.0,0.00,29,
3,"Powiat głogowski",88447,51709,3,2,0,5,2,86669,94.7,47.4,24.3,12.2,64061,26,550.5,2.76,356,6,78723,4763.21,0.0,0.00,26,
4,"Powiat górowski",34552,20946,3,2,1,2,1,33674,69.1,147.6,24.2,51.7,13964,23,63.7,1.36,226,2,15251,4432.40,0.0,0.00,14,
5,"Powiat jaworski",49734,29740,2,0,0,1,1,45049,78.7,92.0,16.7,19.6,27896,26,180.6,2.11,224,1,39901,4932.98,0.0,0.00,20,
6,"Powiat karkonoski",63333,38097,6,2,2,2,0,53895,103.9,102.9,26.1,25.9,33546,12,110.0,1.09,368,5,40991,4526.41,0.0,0.00,26,
7,"Powiat kamiennogórski",42824,25703,4,0,0,7,1,38847,83.8,77.4,37.6,34.7,25038,25,207.2,1.91,148,1,34641,4532.19,0.0,0.00,11,
8,"Powiat kłodzki",156283,92001,16,6,15,22,9,134468,80.6,84.7,6.4,6.7,86786,21,192.3,2.02,536,9,102875,4747.93,0.0,0.00,59,
9,"Powiat legnicki",55110,33357,3,1,0,1,1,53507,66.3,89.6,21.1,28.5,21759,11,67.2,0.91,310,1,42183,4877.07,0.0,0.00,22,
10,"Powiat lubański",53852,32376,7,2,2,4,2,46302,104.2,82.9,9.1,7.2,28596,24,252,2,35828,4508.29,0.0,0.00,20,
11,"Powiat lubiński",105896,61295,4,4,1,11,2,105813,61.6,41.4,4.7,3.1,87046,23,626.7,4.21,346,5,100862,8920.41,0.0,0.00,25,
12,"Powiat lwówecki",45599,27535,7,0,0,2,0,35527,213.1,331.6,8.0,12.5,14144,20,114.1,1.78,180,5,26463,4622.42,0.0,0.00,21,
13,"Powiat milicki",36800,21556,3,1,0,6,1,34389,52.1,101.3,8.4,16.2,14504,25,134.3,2.61,176,2,23103,4338.67,0.0,0.00,16,
14,"Powiat oleśnicki",107268,64568,8,6,7,5,2,105070,78.8,77.1,21.6,21.2,48098,23,368.8,3.61,477,4,71560,4773.90,0.0,0.00,36,
15,"Powiat oławski",76733,45478,4,3,4,1,1,73042,65.5,44.7,15.1,10.3,45262,26,351.1,2.40,357,3,61432,4987.74,0.0,0.00,26,
16,"Powiat polkowicki",62997,38705,5,0,2,5,1,62097,57.1,70.6,25.8,32.0,40888,27,200.1,2.48,276,3,54906,5606.23,0.0,0.00,18,
17,"Powiat strzeliński",43221,26040,11,0,1,2,1,41553,82.0,118.1,12.7,18.3,12762,21,32.2,0.46,438,1,21462,5161.72,0.0,0.00,18,
18,"Powiat średzki",55508,34215,3,2,0,1,0,55116,72.5,91.9,29.0,36.8,16347,22,367.8,4.67,372,1,28404,5260.90,0.0,0.00,15,
19,"Powiat świdnicki",156015,92352,12,7,6,16,6,150838,105.2,50.0,27.7,13.2,101896,25,658.4,3.13,628,8,118316,5053.92,0.0,0.00,50,
20,"Powiat trzebnicki",85226,51642,5,4,4,2,0,82127,128.5,154.5,76.9,92.5,36805,22,541.6,6.51,406,3,42358,4611.02,0.0,0.00,30,
21,"Powiat wałbrzyski",55107,33069,6,3,4,2,0,50273,94.8,74.0,18.1,14.2,34699,13,158.1,1.23,252,1,33311,4385.23,0.0,0.00,18,
22,"Powiat wołowski",46623,28137,2,2,2,4,1,45218,52.4,75.9,26.3,38.1,24050,25,589.7,8.54,161,4,32889,5907.36,0.0,0.00,19,
23,"Powiat wrocławski",156322,95224,9,8,9,8,3,152436,95.1,68.0,14.4,10.3,95827,21,424.1,3.03,914,2,102397,5868.29,0.0,0.00,52,
24,"Powiat ząbkowicki",64080,38651,10,2,0,2,0,58181,61.5,77.0,7.1,8.9,24992,24,11.2,0.14,361,3,34538,4556.76,0.0,0.00,20,
25,"Powiat zgorzelecki",88386,53443,13,3,2,8,1,83948,64.0,60.7,5.8,5.5,33797,27,652.3,6.19,262,5,62531,4881.55,0.0,0.00,29,
26,"Powiat złotoryjski",43038,26112,4,2,0,0,0,38249,76.0,101.7,17.6,23.6,16822,20,81.6,1.09,235,2,29457,5118.53,0.0,0.00,19,
27,"Powiat m.Jelenia Góra",78335,43799,4,3,2,9,2,76336,187.2,26.1,8.1,1.1,72675,23,5228.0,7.29,242,4,70395,5183.33,72.9,945.00,15,
28,"Powiat m.Legnica",98436,57335,4,3,1,3,2,96811,359.0,20.5,91.0,5.2,92099,25,7052.8,4.03,228,9,92233,4952.32,88.2,615.14,20,
29,"Powiat m.Wrocław",641928,372138,17,19,27,56,11,619234,311.8,14.2,29.5,1.3,467799,22,12307.9,5.61,1640,41,594770,6140.64,92.2,659.20,137,
30,"Powiat m.Wałbrzych od 2013",109971,63204,7,5,0,1,1,107140,194.5,15.0,5.5,0.4,104251,24,3978.7,3.06,299,6,90521,5565.38,81.0,503.85,24,
31,"Powiat aleksandrowski",54891,32836,8,1,3,10,4,51706,136.2,117.8,45.6,39.4,9458,20,577.3,4.99,215,3,30560,4138.84,0.0,0.00,25,
32,"Powiat brodnicki",79023,48067,6,2,2,4,0,74903,82.0,107.9,84.2,110.8,3597,24,201.9,2.66,624,4,49857,4291.16,0.0,0.00,35,
33,"Powiat bydgoski",120432,74992,4,5,0,4,2,110766,74.2,85.9,38.1,44.1,37342,21,1197.9,13.87,594,2,69256,4752.76,0.0,0.00,36,
34,"Powiat chełmiński",51657,31592,4,2,0,1,0,50651,114.0,116.2,44.8,45.7,16590,23,556.0,5.67,247,3,32077,4492.13,0.0,0.00,24,
35,"Powiat golubsko-dobrzyński",44855,27502,3,2,1,1,1,43455,86.7,118.5,33.6,46.0,2975,21,545.0,7.45,267,1,27661,4974.93,0.0,0.00,24,
36,"Powiat grudziądzki",40305,24914,1,2,1,1,1,37693,98.5,177.9,75.1,135.6,7141,20,355.9,6.43,493,1,16647,4677.24,0.0,0.00,25,
37,"Powiat inowrocławski",158496,96028,10,3,6,15,3,156596,84.1,65.0,25.9,20.0,75789,26,639.1,4.94,1119,7,113025,4597.12,0.0,0.00,57,
38,"Powiat lipnowski",65450,40515,5,2,5,1,1,62585,76.6,118.9,75.0,116.4,294,23,51.2,0.79,437,2,23737,4106.90,0.0,0.00,29,
39,"Powiat mogileński",45482,27593,5,3,0,0,1,45263,96.9,143.9,23.8,35.4,15578,25,170.3,2.53,282,3,26463,4263.04,0.0,0.00,23,
40,"Powiat nakielski",86119,52456,5,1,2,3,1,81003,65.2,84.8,49.6,64.6,25209,25,244.6,3.18,470,4,45711,4423.48,0.0,0.00,35,
41,"Powiat radziejowski",40025,24438,4,0,2,0,1,38895,140.2,212.7,42.2,64.0,3434,21,337.6,5.12,230,2,15938,4320.09,0.0,0.00,16,
42,"Powiat rypiński",43390,26084,1,2,0,6,0,41692,71.4,96.5,66.7,90.1,700,25,165.4,2.24,301,1,22084,4219.07,0.0,0.00,25,
43,"Powiat sępoleński",40826,24695,3,1,0,1,0,34575,55.2,107.0,30.4,58.8,9750,25,343.8,6.66,235,2,24330,4308.57,0.0,0.00,21,
44,"Powiat świecki",98703,59903,13,2,2,6,1,91513,66.9,99.8,41.1,61.4,25223,23,435.5,6.50,647,6,65679,4858.33,0.0,0.00,44,
45,"Powiat toruński",109565,68142,3,1,1,0,1,102919,87.0,97.7,41.3,46.4,21820,22,1172.0,13.16,656,2,65957,4394.70,0.0,0.00,43,
46,"Powiat tucholski",48322,29035,3,4,0,5,0,45616,59.8,133.1,35.4,78.8,13053,30,517.0,11.51,297,1,35189,4208.91,0.0,0.00,23,
47,"Powiat wąbrzeski",34040,20692,2,0,0,0,1,32567,90.4,133.4,91.4,134.7,7387,23,629.5,9.28,345,2,18979,4709.17,0.0,0.00,12,
48,"Powiat włocławski",85646,52978,8,5,2,6,0,81521,112.2,193.0,38.6,66.3,9295,23,331.8,5.71,759,5,36039,4383.49,0.0,0.00,36,
49,"Powiat żniński",69886,41950,7,2,0,1,2,67271,86.4,121.8,21.2,29.8,21479,20,143.2,2.02,505,4,41894,4285.37,0.0,0.00,29,
50,"Powiat m.Bydgoszcz",344091,197958,11,4,17,32,3,333817,293.2,15.0,108.8,5.6,274493,24,6557.6,3.35,983,24,320785,5252.17,77.5,715.96,66,
51,"Powiat m.Grudziądz",93564,53953,3,3,1,2,0,90015,243.9,15.1,95.6,5.9,81878,24,10180.1,6.28,328,7,86270,4414.17,87.3,642.83,22,
52,"Powiat m.Toruń",198613,115343,2,3,6,21,2,188482,307.5,17.9,54.5,3.2,156001,25,11925.3,6.95,713,17,181368,5331.63,66.9,265.61,45,
53,"Powiat m.Włocławek",108561,62936,1,1,0,7,3,105357,174.7,13.6,45.7,3.5,81766,22,7625.7,5.92,301,9,100427,4889.30,71.2,614.77,23,
54,"Powiat bialski",109958,66782,10,2,4,5,0,88141,57.2,143.3,76.8,192.3,4922,19,194.6,4.87,679,5,43694,4258.54,0.0,0.00,59,
55,"Powiat biłgorajski",100333,60840,10,1,4,3,0,95875,59.0,98.8,35.6,59.7,21112,27,311.1,5.21,559,4,60977,4522.48,0.0,0.00,54,
56,"Powiat chełmski",77502,47710,5,1,3,5,0,62311,74.5,181.4,101.6,247.2,9450,13,161.2,3.92,746,2,21774,4291.62,0.0,0.00,36,
57,"Powiat hrubieszowski",62009,37193,7,2,0,0,0,43847,117.3,239.9,39.1,80.0,6293,18,243.7,4.98,380,3,23264,4518.56,0.0,0.00,34,
58,"Powiat janowski",45142,27461,1,2,3,0,1,37600,74.8,145.1,41.9,81.2,8528,22,133.7,2.59,178,3,13830,4437.27,0.0,0.00,24,
59,"Powiat krasnostawski",62552,36645,6,0,2,1,1,53964,72.7,119.8,29.6,48.8,20882,23,37.8,0.62,590,3,24134,4548.95,0.0,0.00,27,
60,"Powiat kraśnicki",94531,56492,12,1,1,5,2,81528,82.6,87.8,28.6,30.4,54187,22,167.1,1.78,655,5,42359,4244.39,0.0,0.00,54,
61,"Powiat lubartowski",87850,52832,4,0,4,0,2,82015,72.9,106.9,115.8,169.9,13014,24,534.6,7.84,649,3,44754,4369.45,0.0,0.00,47,
62,"Powiat lubelski",156493,95310,5,1,3,2,1,127822,102.2,109.6,32.6,35.0,76681,22,649.0,6.97,1541,5,37717,4253.09,0.0,0.00,82,
63,"Powiat łęczyński",57218,35305,2,3,1,1,0,55664,103.1,114.7,76.6,85.3,25856,20,519.9,5.78,326,4,31735,6391.65,0.0,0.00,27,
64,"Powiat łukowski",106213,63096,6,0,0,4,1,97416,109.2,143.4,33.0,43.3,34860,24,170.0,2.23,775,5,44431,4146.78,0.0,0.00,66,
65,"Powiat opolski",58706,35088,3,0,0,1,1,52676,90.8,125.3,73.7,101.7,27048,19,140.7,1.94,335,2,19759,4252.35,0.0,0.00,32,
66,"Powiat parczewski",34372,20388,5,2,2,2,1,29920,51.8,143.6,62.9,174.2,881,22,357.1,9.89,252,1,15744,4478.61,0.0,0.00,22,
67,"Powiat puławski",112384,65056,5,1,0,6,1,103444,95.2,79.1,34.4,28.6,67326,26,394.0,3.27,640,10,70625,5311.80,0.0,0.00,48,
68,"Powiat radzyński",58298,35106,5,0,1,1,1,50488,88.4,146.3,57.6,95.4,5580,28,101.5,1.68,319,3,22494,4385.35,0.0,0.00,36,
69,"Powiat rycki",55530,32607,4,0,4,1,1,48250,103.4,114.4,43.9,48.5,19043,26,335.2,3.71,297,5,22893,4386.95,0.0,0.00,30,
70,"Powiat świdnicki",71432,41706,3,0,0,0,0,66581,109.2,71.6,131.6,86.3,46012,25,945.9,6.20,404,3,42204,5074.45,0.0,0.00,21,
71,"Powiat tomaszowski",81944,49774,9,0,3,3,1,67070,76.5,139.0,26.3,47.7,24654,24,544.7,9.90,436,3,32214,4337.56,0.0,0.00,47,
72,"Powiat włodawski",37989,22664,5,1,4,3,2,34118,38.5,127.5,61.8,204.2,974,20,426.6,14.11,318,2,21220,4333.34,0.0,0.00,22,
73,"Powiat zamojski",105354,64485,7,2,0,0,0,61496,71.7,127.3,68.6,121.8,29144,11,193.6,3.44,977,3,19059,4135.39,0.0,0.00,59,
74,"Powiat m.Biała Podlaska",56942,34094,2,0,0,1,0,49520,323.9,28.1,100.0,8.7,28208,26,4251.0,3.69,196,7,49100,4504.47,16.2,438.03,12,
75,"Powiat m.Chełm",61135,35989,1,1,1,0,0,59426,333.9,19.3,68.9,4.0,39115,27,5413.8,3.12,186,6,57093,4581.83,88.4,622.49,15,
76,"Powiat m.Lublin",338586,196342,4,8,28,18,4,323336,331.7,14.4,37.8,1.6,295748,24,12266.9,5.34,758,37,311411,5412.39,66.8,973.26,67,
77,"Powiat m.Zamość",62785,36885,1,2,1,2,1,59635,373.4,18.0,48.1,2.3,59009,25,15787.7,7.63,185,9,57363,5013.44,80.3,730.65,14,
78,"Powiat gorzowski",72291,44846,5,1,1,3,0,67511,61.0,102.4,45.0,75.6,38243,16,654.7,11.00,332,2,51393,5012.81,0.0,0.00,30,
79,"Powiat krośnieński",54598,33170,2,2,0,0,1,50487,34.7,88.5,28.5,72.6,19795,23,375.2,9.56,252,2,33624,4765.10,0.0,0.00,28,
80,"Powiat międzyrzecki",57100,34431,6,1,0,8,1,50891,34.8,84.5,75.7,183.9,15038,20,179.4,4.36,166,2,38563,4569.86,0.0,0.00,19,
81,"Powiat nowosolski",85733,50566,8,2,1,0,0,81823,59.7,53.6,57.7,51.9,48346,27,1117.1,10.04,321,3,63986,4625.15,0.0,0.00,24,
82,"Powiat słubicki",46944,29078,3,1,2,3,0,43686,42.4,90.3,38.9,82.9,22244,25,411.3,8.76,187,3,33639,4480.78,0.0,0.00,18,
83,"Powiat strzelecko-drezdenecki",48621,29125,7,2,0,2,0,45289,86.4,221.8,50.7,130.2,13415,29,280.5,7.20,161,3,27067,4560.14,0.0,0.00,24,
84,"Powiat sulęciński",35000,21308,3,1,0,1,0,32432,32.2,108.5,40.1,134.8,5224,23,290.4,9.77,113,2,23248,4292.99,0.0,0.00,13,
85,"Powiat świebodziński",55520,33384,5,1,2,2,1,52325,57.2,96.5,35.4,59.7,31005,25,540.3,9.11,170,2,47243,4659.04,0.0,0.00,21,
86,"Powiat zielonogórski",75673,46195,5,4,4,8,1,72830,41.6,74.2,55.7,99.3,38556,23,652.0,11.63,329,2,51206,5037.75,0.0,0.00,35,
87,"Powiat żagański",78148,47180,9,1,1,1,1,75202,52.6,76.1,29.8,43.1,49725,21,179.4,2.60,294,4,54529,4484.13,0.0,0.00,32,
88,"Powiat żarski",95423,57720,8,4,10,5,1,89184,56.8,82.9,28.7,41.8,51889,26,440.1,6.42,362,4,58393,5047.09,0.0,0.00,40,
89,"Powiat wschowski",38613,23295,2,1,0,1,0,36065,37.7,60.9,133.1,215.2,14595,20,84.9,1.37,104,2,26760,4470.96,0.0,0.00,18,
90,"Powiat m.Gorzów Wielkopolski",122589,70454,5,1,5,6,1,122578,207.4,14.5,26.5,1.9,93497,25,7629.5,5.33,355,9,122480,4788.88,77.8,629.50,27,
91,"Powiat m.Zielona Góra",140892,81453,3,13,4,19,3,134021,83.4,16.5,40.1,7.9,122063,24,2504.3,4.95,422,10,119932,5212.80,80.7,740.78,31,
92,"Powiat bełchatowski",112443,68039,9,4,3,11,3,106566,90.6,78.0,33.0,28.4,48696,25,1415.9,12.18,730,8,75393,7002.62,0.0,0.00,38,
93,"Powiat kutnowski",95516,56184,5,1,1,3,0,90767,150.8,140.0,23.0,21.4,7653,20,197.3,1.83,687,9,56756,4786.11,0.0,0.00,38,
94,"Powiat łaski",49736,29821,3,1,0,0,1,42946,86.1,107.1,29.5,36.7,2608,26,331.6,4.12,265,3,21502,4162.46,0.0,0.00,19,
95,"Powiat łęczycki",49286,29233,4,0,0,1,0,46594,120.2,188.5,26.3,41.3,1775,26,32.4,0.51,235,2,18116,4822.41,0.0,0.00,24,
96,"Powiat łowicki",77614,45775,8,2,0,0,1,72718,110.1,140.2,12.7,16.2,5069,20,127.5,1.62,335,4,32914,4460.42,0.0,0.00,38,
97,"Powiat łódzki wschodni",72565,43269,5,4,0,6,1,69248,123.9,85.3,49.5,34.1,35319,20,944.5,6.50,387,4,29379,4423.99,0.0,0.00,23,
98,"Powiat opoczyński",75524,45059,10,0,0,1,1,69834,71.4,98.3,22.9,31.5,13677,30,234.6,3.23,600,5,48976,4343.35,0.0,0.00,48,
99,"Powiat pabianicki",118941,69197,5,3,3,10,2,111532,119.9,49.6,35.2,14.6,71639,25,558.7,2.31,438,5,80525,4675.17,0.0,0.00,32,
100,"Powiat pajęczański",50952,30929,8,1,3,2,0,49361,83.0,130.9,37.4,59.0,1235,28,838.5,13.23,281,2,22534,4573.46,0.0,0.00,27,
101,"Powiat piotrkowski",91208,54554,9,1,3,0,0,87706,92.6,145.1,13.2,20.7,5505,17,91.7,1.44,716,1,30492,4255.64,0.0,0.00,45,
102,"Powiat poddębicki",40906,24377,1,1,0,1,0,37029,73.0,157.3,24.3,52.2,2077,26,229.2,4.94,331,1,13014,5688.39,0.0,0.00,15,
103,"Powiat radomszczański",111696,66753,5,3,3,9,1,105245,78.0,100.7,13.3,17.2,30629,28,92.2,1.19,773,5,59174,4368.96,0.0,0.00,45,
104,"Powiat rawski",48385,28440,1,2,0,5,1,40682,93.9,125.4,42.2,56.4,13619,25,287.8,3.84,248,4,19649,4509.52,0.0,0.00,24,
105,"Powiat sieradzki",116918,70178,7,2,7,7,1,109255,74.4,94.8,25.8,32.8,2791,28,260.9,3.33,616,7,55104,4741.55,0.0,0.00,54,
106,"Powiat skierniewicki",38173,22747,4,0,0,1,0,33800,91.5,180.6,26.1,51.4,354,24,403.5,7.96,150,1,5352,4451.49,0.0,0.00,33,
107,"Powiat tomaszowski",115735,67371,6,7,7,8,1,110439,102.5,90.7,33.2,29.4,47645,30,638.2,5.65,616,6,75490,4473.72,0.0,0.00,37,
108,"Powiat wieluński",75736,45228,5,2,0,3,1,72229,101.4,124.0,22.4,27.4,1649,27,336.8,4.12,517,3,36476,4342.78,0.0,0.00,44,
109,"Powiat wieruszowski",41984,25505,1,1,1,1,0,40953,104.2,143.3,54.5,74.9,1780,22,424.5,5.84,204,1,24511,4165.25,0.0,0.00,30,
110,"Powiat zduńskowolski",66064,39237,5,0,0,0,0,63898,126.6,70.7,20.0,11.2,1918,26,1830.8,10.23,302,5,48851,4382.66,0.0,0.00,23,
111,"Powiat zgierski",165850,96979,3,3,4,4,3,159641,123.7,63.8,39.9,20.6,62647,24,345.0,1.78,858,10,106540,5081.59,0.0,0.00,51,
112,"Powiat brzeziński",30648,18195,0,0,0,2,1,29468,105.5,123.4,10.2,11.9,214,17,47.4,0.55,160,2,13201,4113.70,0.0,0.00,13,
113,"Powiat m.Łódź",672185,374630,10,21,20,67,7,638050,253.9,11.1,72.4,3.2,533369,21,6035.8,2.63,2057,54,589319,5510.99,86.0,844.64,154,
114,"Powiat m.Piotrków Trybunalski",72250,41421,2,1,1,11,3,69870,285.4,26.6,28.6,2.7,54918,23,4312.9,4.01,266,7,65672,4422.85,89.6,459.27,21,
115,"Powiat m.Skierniewice",47655,27202,4,2,2,7,1,44560,407.5,29.6,36.4,2.6,31969,24,8352.6,6.06,185,5,42542,4691.83,82.3,593.18,10,
116,"Powiat bocheński",106947,64541,10,3,3,3,3,83881,142.5,86.4,8.0,4.9,88423,27,439.4,2.66,819,4,62705,4523.92,0.0,0.00,57,
117,"Powiat brzeski",93035,57353,11,1,0,7,1,70823,161.8,102.7,19.8,12.6,72269,26,438.6,2.78,610,2,38057,4244.82,0.0,0.00,53,
118,"Powiat chrzanowski",123664,73455,9,6,1,11,3,122757,192.4,57.6,17.7,5.3,90998,27,348.5,1.04,551,4,82710,4912.69,0.0,0.00,47,
119,"Powiat dąbrowski",58977,37223,13,4,0,3,1,52476,177.2,159.3,39.1,35.1,37983,20,94.3,0.85,219,3,25360,4425.26,0.0,0.00,26,
120,"Powiat gorlicki",108487,65518,14,2,1,8,5,44995,120.6,107.5,12.8,11.4,76734,26,231.8,2.06,649,4,63044,4158.62,0.0,0.00,61,
121,"Powiat krakowski",281440,170468,21,4,3,6,3,263445,177.5,77.6,9.6,4.2,222310,24,204.0,0.89,1593,6,163526,5788.98,0.0,0.00,137,
122,"Powiat limanowski",132148,80435,16,1,1,4,2,64930,121.4,87.4,24.4,17.6,74680,29,21.0,0.15,633,3,52237,4163.22,0.0,0.00,87,
123,"Powiat miechowski",48464,28306,4,1,1,1,1,42805,162.4,226.7,25.8,36.0,5781,28,211.4,2.95,543,3,14376,4415.03,0.0,0.00,22,
124,"Powiat myślenicki",127972,78447,8,2,3,7,1,82320,118.8,62.5,4.8,2.5,79100,28,185.7,0.98,526,5,76017,4525.20,0.0,0.00,61,
125,"Powiat nowosądecki",217071,133555,18,3,9,11,2,123984,176.9,126.3,35.7,25.5,115682,24,285.8,2.04,1115,5,105436,4160.76,0.0,0.00,136,
