"Kod";"Nazwa";"licea ogólnokształcące dla młodzieży bez specjalnych;ogółem;ogółem;2020;[ob.]";
2211062;"Krokowa (2)";1;
2212000;"Powiat słupski";2;
2212011;"Ustka (1)";1;
2212082;"Słupsk (2)";1;
2213000;"Powiat starogardzki";3;
2213031;"Starogard Gdański (1)";3;
2214000;"Powiat tczewski";7;
2214011;"Tczew (1)";4;
2214023;"Gniew (3)";1;
2214024;"Gniew - miasto (4)";1;
2214043;"Pelplin (3)";2;
2214044;"Pelplin - miasto (4)";2;
2215000;"Powiat wejherowski";8;
2215011;"Reda (1)";1;
2215021;"Rumia (1)";3;
2215031;"Wejherowo (1)";4;
2216000;"Powiat sztumski";2;
2216013;"Dzierzgoń (3)";1;
2216014;"Dzierzgoń - miasto (4)";1;
2216053;"Sztum (3)";1;
2216054;"Sztum - miasto (4)";1;
2261000;"Powiat m.Gdańsk";34;
2261011;"Gdańsk (1)";34;
2262000;"Powiat m.Gdynia";14;
2262011;"Gdynia (1)";14;
2263000;"Powiat m.Słupsk";16;
2263011;"Słupsk (1)";16;
2264000;"Powiat m.Sopot";5;
2264011;"Sopot (1)";5;
2400000;"ŚLĄSKIE";238;
2401000;"Powiat będziński";6;
2401011;"Będzin (1)";3;
2401031;"Wojkowice (1)";1;
2401073;"Siewierz (3)";1;
2401074;"Siewierz - miasto (4)";1;
2401081;"Sławków (1)";1;
2402000;"Powiat bielski";4;
2402011;"Szczyrk (1)";1;
2402032;"Buczkowice (2)";1;
2402043;"Czechowice-Dziedzice (3)";1;
2402044;"Czechowice-Dziedzice - miasto (4)";1;
2402072;"Kozy (2)";1;
2403000;"Powiat cieszyński";7;
2403011;"Cieszyn (1)";5;
2403031;"Wisła (1)";1;
2403103;"Skoczów (3)";1;
2403104;"Skoczów - miasto (4)";1;
2404000;"Powiat częstochowski";2;
2404042;"Kamienica Polska (2)";1;
2404063;"Koniecpol (3)";1;
2404064;"Koniecpol - miasto (4)";1;
2405000;"Powiat gliwicki";3;
2405011;"Knurów (1)";2;
2405021;"Pyskowice (1)";1;
2406000;"Powiat kłobucki";3;
2406013;"Kłobuck (3)";2;
2406014;"Kłobuck - miasto (4)";2;
2406023;"Krzepice (3)";1;
2406024;"Krzepice - miasto (4)";1;
2407000;"Powiat lubliniecki";4;
2407011;"Lubliniec (1)";3;
2407083;"Woźniki (3)";1;
2407085;"Woźniki - obszar wiejski (5)";1;
2408000;"Powiat mikołowski";2;
2408021;"Mikołów (1)";2;
2409000;"Powiat myszkowski";3;
2409011;"Myszków (1)";1;
2409023;"Koziegłowy (3)";1;
2409024;"Koziegłowy - miasto (4)";1;
2409053;"Żarki (3)";1;
2409054;"Żarki - miasto (4)";1;
2410000;"Powiat pszczyński";5;
2410032;"Miedźna (2)";1;
2410042;"Pawłowice (2)";1;
2410053;"Pszczyna (3)";3;
2410054;"Pszczyna - miasto (4)";3;
2411000;"Powiat raciborski";4;
2411011;"Racibórz (1)";4;
2412000;"Powiat rybnicki";1;
2412013;"Czerwionka-Leszczyny (3)";1;
2412014;"Czerwionka-Leszczyny - miasto (4)";1;
2413000;"Powiat tarnogórski";6;
2413031;"Radzionków (1)";2;
2413041;"Tarnowskie Góry (1)";4;
2414000;"Powiat bieruńsko-lędziński";1;
2414011;"Bieruń (1)";1;
2415000;"Powiat wodzisławski";5;
2415031;"Rydułtowy (1)";1;
2415041;"Wodzisław Śląski (1)";4;
2416000;"Powiat zawierciański";7;
2416011;"Poręba (1)";1;
2416021;"Zawiercie (1)";3;
2416053;"Łazy (3)";1;
2416054;"Łazy - miasto (4)";1;
2416073;"Pilica (3)";1;
2416074;"Pilica - miasto (4)";1;
2416083;"Szczekociny (3)";1;
2416084;"Szczekociny - miasto (4)";1;
2417000;"Powiat żywiecki";9;
2417011;"Żywiec (1)";7;
2417052;"Koszarawa (2)";1;
2417092;"Milówka (2)";1;
2461000;"Powiat m.Bielsko-Biała";24;
2461011;"Bielsko-Biała (1)";24;
2462000;"Powiat m.Bytom";7;
2462011;"Bytom (1)";7;
2463000;"Powiat m.Chorzów";7;
2463011;"Chorzów (1)";7;
2464000;"Powiat m.Częstochowa";18;
2464011;"Częstochowa (1)";18;
2465000;"Powiat m.Dąbrowa Górnicza";8;
2465011;"Dąbrowa Górnicza (1)";8;
2466000;"Powiat m.Gliwice";13;
2466011;"Gliwice (1)";13;
2467000;"Powiat m.Jastrzębie-Zdrój";7;
2467011;"Jastrzębie-Zdrój (1)";7;
2468000;"Powiat m.Jaworzno";4;
2468011;"Jaworzno (1)";4;
2469000;"Powiat m.Katowice";21;
2469011;"Katowice (1)";21;
2470000;"Powiat m.Mysłowice";2;
2470011;"Mysłowice (1)";2;
2471000;"Powiat m.Piekary Śląskie";2;
2471011;"Piekary Śląskie (1)";2;
2472000;"Powiat m.Ruda Śląska";4;
2472011;"Ruda Śląska (1)";4;
2473000;"Powiat m.Rybnik";8;
2473011;"Rybnik (1)";8;
2474000;"Powiat m.Siemianowice Śląskie";5;
2474011;"Siemianowice Śląskie (1)";5;
2475000;"Powiat m.Sosnowiec";13;
2475011;"Sosnowiec (1)";13;
2476000;"Powiat m.Świętochłowice";3;
2476011;"Świętochłowice (1)";3;
2477000;"Powiat m.Tychy";5;
2477011;"Tychy (1)";5;
2478000;"Powiat m.Zabrze";11;
2478011;"Zabrze (1)";11;
2479000;"Powiat m.Żory";4;
2479011;"Żory (1)";4;
2600000;"ŚWIĘTOKRZYSKIE";68;
2601000;"Powiat buski";3;
2601013;"Busko-Zdrój (3)";3;
2601014;"Busko-Zdrój - miasto (4)";3;
2602000;"Powiat jędrzejowski";5;
2602023;"Jędrzejów (3)";2;
2602024;"Jędrzejów - miasto (4)";2;
2602033;"Małogoszcz (3)";1;
2602034;"Małogoszcz - miasto (4)";1;
2602063;"Sędziszów (3)";1;
2602064;"Sędziszów - miasto (4)";1;
2602092;"Wodzisław (2)";1;
2603000;"Powiat kazimierski";1;
2603033;"Kazimierza Wielka (3)";1;
2603034;"Kazimierza Wielka - miasto (4)";1;
2604000;"Powiat kielecki";5;
2604023;"Bodzentyn (3)";1;
2604024;"Bodzentyn - miasto (4)";1;
2604033;"Chęciny (3)";1;
2604034;"Chęciny - miasto (4)";1;
2604043;"Chmielnik (3)";1;
2604044;"Chmielnik - miasto (4)";1;
2604082;"Łopuszno (2)";1;
2604172;"Nowiny (2)";1;
2605000;"Powiat konecki";3;
2605033;"Końskie (3)";2;
2605034;"Końskie - miasto (4)";2;
2605083;"Stąporków (3)";1;
2605084;"Stąporków - miasto (4)";1;
2606000;"Powiat opatowski";4;
2606043;"Opatów (3)";2;
2606044;"Opatów - miasto (4)";2;
2606053;"Ożarów (3)";2;
2606054;"Ożarów - miasto (4)";2;
2607000;"Powiat ostrowiecki";6;
2607011;"Ostrowiec Świętokrzyski (1)";6;
2608000;"Powiat pińczowski";1;
2608043;"Pińczów (3)";1;
2608044;"Pińczów - miasto (4)";1;
2609000;"Powiat sandomierski";7;
2609011;"Sandomierz (1)";4;
2609033;"Klimontów (3)";1;
2609034;"Klimontów - miasto (4)";1;
2609043;"Koprzywnica (3)";1;
2609044;"Koprzywnica - miasto (4)";1;
2609072;"Samborzec (2)";1;
2610000;"Powiat skarżyski";3;
2610011;"Skarżysko-Kamienna (1)";2;
2610053;"Suchedniów (3)";1;
2610054;"Suchedniów - miasto (4)";1;
2611000;"Powiat starachowicki";5;
2611011;"Starachowice (1)";5;
2612000;"Powiat staszowski";4;
2612012;"Bogoria (2)";1;
2612053;"Połaniec (3)";1;
2612054;"Połaniec - miasto (4)";1;
2612073;"Staszów (3)";2;
2612074;"Staszów - miasto (4)";2;
2613000;"Powiat włoszczowski";3;
2613063;"Włoszczowa (3)";3;
2613064;"Włoszczowa - miasto (4)";3;
2661000;"Powiat m.Kielce";18;
2661011;"Kielce (1)";18;
2800000;"WARMIŃSKO-MAZURSKIE";86;
2801000;"Powiat bartoszycki";4;
2801011;"Bartoszyce (1)";2;
2801021;"Górowo Iławeckie (1)";2;
2802000;"Powiat braniewski";2;
2802011;"Braniewo (1)";2;
2803000;"Powiat działdowski";5;
2803011;"Działdowo (1)";2;
2803032;"Iłowo-Osada (2)";1;
2803043;"Lidzbark (3)";1;
2803044;"Lidzbark - miasto (4)";1;
2803062;"Rybno (2)";1;
2804000;"Powiat elbląski";2;
2804073;"Pasłęk (3)";2;
2804074;"Pasłęk - miasto (4)";2;
2805000;"Powiat ełcki";5;
2805011;"Ełk (1)";5;
2806000;"Powiat giżycki";4;
2806011;"Giżycko (1)";3;
2806102;"Wydminy (2)";1;
2807000;"Powiat iławski";3;
2807011;"Iława (1)";1;
2807021;"Lubawa (1)";1;
2807052;"Lubawa (2)";1;
2808000;"Powiat kętrzyński";5;
2808011;"Kętrzyn (1)";4;
2808053;"Reszel (3)";1;
2808054;"Reszel - miasto (4)";1;
2809000;"Powiat lidzbarski";3;
2809011;"Lidzbark Warmiński (1)";2;
2809053;"Orneta (3)";1;
2809054;"Orneta - miasto (4)";1;
2810000;"Powiat mrągowski";3;
2810011;"Mrągowo (1)";2;
2810023;"Mikołajki (3)";1;
2810024;"Mikołajki - miasto (4)";1;
2811000;"Powiat nidzicki";2;
2811043;"Nidzica (3)";2;
2811044;"Nidzica - miasto (4)";2;
2812000;"Powiat nowomiejski";2;
2812011;"Nowe Miasto Lubawskie (1)";1;
2812022;"Biskupiec (2)";1;
2813000;"Powiat olecki";2;
2813043;"Olecko (3)";2;
2813044;"Olecko - miasto (4)";2;
2814000;"Powiat olsztyński";5;
2814013;"Barczewo (3)";1;
2814014;"Barczewo - miasto (4)";1;
2814023;"Biskupiec (3)";2;
2814024;"Biskupiec - miasto (4)";2;
2814033;"Dobre Miasto (3)";1;
2814034;"Dobre Miasto - miasto (4)";1;
2814093;"Olsztynek (3)";1;
2814094;"Olsztynek - miasto (4)";1;
2815000;"Powiat ostródzki";6;
2815011;"Ostróda (1)";4;
2815083;"Morąg (3)";2;
2815084;"Morąg - miasto (4)";2;
2816000;"Powiat piski";6;
2816023;"Orzysz (3)";1;
2816024;"Orzysz - miasto (4)";1;
2816033;"Pisz (3)";4;
2816034;"Pisz - miasto (4)";4;
2816043;"Ruciane-Nida (3)";1;
2816044;"Ruciane-Nida - miasto (4)";1;
2817000;"Powiat szczycieński";3;
2817011;"Szczytno (1)";3;
2818000;"Powiat gołdapski";1;
2818033;"Gołdap (3)";1;
2818034;"Gołdap - miasto (4)";1;
2819000;"Powiat węgorzewski";1;
2819033;"Węgorzewo (3)";1;
2819034;"Węgorzewo - miasto (4)";1;
2861000;"Powiat m.Elbląg";6;
2861011;"Elbląg (1)";6;
2862000;"Powiat m.Olsztyn";16;
2862011;"Olsztyn (1)";16;
3000000;"WIELKOPOLSKIE";184;
3001000;"Powiat chodzieski";3;
3001011;"Chodzież (1)";2;
3001032;"Chodzież (2)";1;
3002000;"Powiat czarnkowsko-trzcianecki";6;
3002011;"Czarnków (1)";2;
3002043;"Krzyż Wielkopolski (3)";1;
3002044;"Krzyż Wielkopolski - miasto (4)";1;
3002052;"Lubasz (2)";1;
3002073;"Trzcianka (3)";1;
3002074;"Trzcianka - miasto (4)";1;
3002083;"Wieleń (3)";1;
3002084;"Wieleń - miasto (4)";1;
3003000;"Powiat gnieźnieński";7;
3003011;"Gniezno (1)";5;
3003093;"Trzemeszno (3)";1;
3003094;"Trzemeszno - miasto (4)";1;
3003103;"Witkowo (3)";1;
3003104;"Witkowo - miasto (4)";1;
3004000;"Powiat gostyński";4;
3004023;"Gostyń (3)";1;
3004024;"Gostyń - miasto (4)";1;
3004033;"Krobia (3)";1;
3004034;"Krobia - miasto (4)";1;
3004052;"Piaski (2)";1;
3004063;"Pogorzela (3)";1;
3004064;"Pogorzela - miasto (4)";1;
3005000;"Powiat grodziski";1;
3005023;"Grodzisk Wielkopolski (3)";1;
3005024;"Grodzisk Wielkopolski - miasto (4)";1;
3006000;"Powiat jarociński";5;
3006023;"Jarocin (3)";5;
3006024;"Jarocin - miasto (4)";5;
3008000;"Powiat kępiński";2;
3008033;"Kępno (3)";2;
3008034;"Kępno - miasto (4)";2;
3009000;"Powiat kolski";4;
3009011;"Koło (1)";3;
3009063;"Kłodawa (3)";1;
3009064;"Kłodawa - miasto (4)";1;
3010000;"Powiat koniński";3;
3010043;"Kleczew (3)";1;
3010044;"Kleczew - miasto (4)";1;
3010103;"Sompolno (3)";1;
3010104;"Sompolno - miasto (4)";1;
3010112;"Stare Miasto (2)";1;
3011000;"Powiat kościański";4;
3011011;"Kościan (1)";2;
3011023;"Czempiń (3)";1;
3011025;"Czempiń - obszar wiejski (5)";1;
3011053;"Śmigiel (3)";1;
3011055;"Śmigiel - obszar wiejski (5)";1;
3012000;"Powiat krotoszyński";2;
3012033;"Koźmin Wielkopolski (3)";1;
3012034;"Koźmin Wielkopolski - miasto (4)";1;
3012043;"Krotoszyn (3)";1;
3012044;"Krotoszyn - miasto (4)";1;
3013000;"Powiat leszczyński";1;
3013072;"Włoszakowice (2)";1;
3014000;"Powiat międzychodzki";2;
3014033;"Międzychód (3)";1;
3014034;"Międzychód - miasto (4)";1;
3014043;"Sieraków (3)";1;
3014044;"Sieraków - miasto (4)";1;
3015000;"Powiat nowotomyski";3;
3015043;"Nowy Tomyśl (3)";1;
3015044;"Nowy Tomyśl - miasto (4)";1;
3015053;"Opalenica (3)";1;
3015054;"Opalenica - miasto (4)";1;
3015063;"Zbąszyń (3)";1;
3015064;"Zbąszyń - miasto (4)";1;
3016000;"Powiat obornicki";2;
3016013;"Oborniki (3)";1;
3016014;"Oborniki - miasto (4)";1;
3016023;"Rogoźno (3)";1;
3016024;"Rogoźno - miasto (4)";1;
3017000;"Powiat ostrowski";9;
3017011;"Ostrów Wielkopolski (1)";7;
3017033;"Odolanów (3)";1;
3017034;"Odolanów - miasto (4)";1;
3017052;"Przygodzice (2)";1;
3018000;"Powiat ostrzeszowski";2;
3018073;"Ostrzeszów (3)";2;
3018074;"Ostrzeszów - miasto (4)";2;
3019000;"Powiat pilski";9;
3019011;"Piła (1)";7;
3019043;"Łobżenica (3)";1;
3019044;"Łobżenica - miasto (4)";1;
3019062;"Szydłowo (2)";1;
3020000;"Powiat pleszewski";2;
3020063;"Pleszew (3)";2;
3020064;"Pleszew - miasto (4)";2;
3021000;"Powiat poznański";8;
3021011;"Luboń (1)";1;
3021021;"Puszczykowo (1)";1;
3021042;"Czerwonak (2)";1;
3021093;"Kórnik (3)";1;
3021094;"Kórnik - miasto (4)";1;
3021123;"Pobiedziska (3)";1;
3021124;"Pobiedziska - miasto (4)";1;
3021163;"Swarzędz (3)";2;
3021164;"Swarzędz - miasto (4)";2;
3021172;"Tarnowo Podgórne (2)";1;
3022000;"Powiat rawicki";3;
3022023;"Jutrosin (3)";1;
3022024;"Jutrosin - miasto (4)";1;
3022033;"Miejska Górka (3)";1;
3022034;"Miejska Górka - miasto (4)";1;
3022053;"Rawicz (3)";1;
3022054;"Rawicz - miasto (4)";1;
3023000;"Powiat słupecki";2;
3023011;"Słupca (1)";1;
3023083;"Zagórów (3)";1;
3023084;"Zagórów - miasto (4)";1;
3024000;"Powiat szamotulski";5;
3024063;"Pniewy (3)";2;
3024064;"Pniewy - miasto (4)";2;
3024073;"Szamotuły (3)";2;
3024074;"Szamotuły - miasto (4)";2;
3024083;"Wronki (3)";1;
3024084;"Wronki - miasto (4)";1;
3025000;"Powiat średzki";4;
3025043;"Środa Wielkopolska (3)";4;
3025044;"Środa Wielkopolska - miasto (4)";4;
3026000;"Powiat śremski";3;
3026043;"Śrem (3)";3;
3026044;"Śrem - miasto (4)";3;
3027000;"Powiat turecki";1;
3027011;"Turek (1)";1;
3028000;"Powiat wągrowiecki";2;
3028011;"Wągrowiec (1)";2;
3029000;"Powiat wolsztyński";1;
3029033;"Wolsztyn (3)";1;
3029034;"Wolsztyn - miasto (4)";1;
3030000;"Powiat wrzesiński";2;
3030053;"Września (3)";2;
3030054;"Września - miasto (4)";2;
3031000;"Powiat złotowski";3;
3031011;"Złotów (1)";3;
3061000;"Powiat m.Kalisz";7;
3061011;"Kalisz (1)";7;
3062000;"Powiat m.Konin";9;
3062011;"Konin (1)";9;
3063000;"Powiat m.Leszno";6;
3063011;"Leszno (1)";6;
3064000;"Powiat m.Poznań";57;
3064011;"Poznań (1)";57;
3200000;"ZACHODNIOPOMORSKIE";98;
3201000;"Powiat białogardzki";3;
3201011;"Białogard (1)";2;
3201043;"Tychowo (3)";1;
3201044;"Tychowo - miasto (4)";1;
3202000;"Powiat choszczeński";2;
3202023;"Choszczno (3)";2;
3202024;"Choszczno - miasto (4)";2;
3203000;"Powiat drawski";4;
3203013;"Czaplinek (3)";1;
3203014;"Czaplinek - miasto (4)";1;
3203023;"Drawsko Pomorskie (3)";1;
3203024;"Drawsko Pomorskie - miasto (4)";1;
3203033;"Kalisz Pomorski (3)";1;
3203034;"Kalisz Pomorski - miasto (4)";1;
3203063;"Złocieniec (3)";1;
3203064;"Złocieniec - miasto (4)";1;
3204000;"Powiat goleniowski";4;
3204023;"Goleniów (3)";2;
3204024;"Goleniów - miasto (4)";2;
3204043;"Nowogard (3)";2;
3204044;"Nowogard - miasto (4)";2;
3205000;"Powiat gryficki";5;
3205023;"Gryfice (3)";4;
3205024;"Gryfice - miasto (4)";4;
3205083;"Trzebiatów (3)";1;
3205084;"Trzebiatów - miasto (4)";1;
3206000;"Powiat gryfiński";3;
3206033;"Chojna (3)";1;
3206034;"Chojna - miasto (4)";1;
3206043;"Gryfino (3)";2;
3206044;"Gryfino - miasto (4)";2;
3207000;"Powiat kamieński";4;
3207013;"Dziwnów (3)";1;
3207014;"Dziwnów - miasto (4)";1;
3207033;"Kamień Pomorski (3)";1;
3207034;"Kamień Pomorski - miasto (4)";1;
3207063;"Wolin (3)";2;
3207064;"Wolin - miasto (4)";2;
3208000;"Powiat kołobrzeski";4;
3208011;"Kołobrzeg (1)";3;
3208033;"Gościno (3)";1;
3208034;"Gościno - miasto (4)";1;
3209000;"Powiat koszaliński";2;
3209033;"Bobolice (3)";1;
3209034;"Bobolice - miasto (4)";1;
3209063;"Polanów (3)";1;
3209064;"Polanów - miasto (4)";1;
3210000;"Powiat myśliborski";4;
3210013;"Barlinek (3)";1;
3210014;"Barlinek - miasto (4)";1;
3210033;"Dębno (3)";2;
3210034;"Dębno - miasto (4)";2;
3210043;"Myślibórz (3)";1;
3210044;"Myślibórz - miasto (4)";1;
3211000;"Powiat policki";2;
3211022;"Kołbaskowo (2)";1;
3211043;"Police (3)";1;
3211044;"Police - miasto (4)";1;
3212000;"Powiat pyrzycki";2;
3212033;"Lipiany (3)";1;
3212034;"Lipiany - miasto (4)";1;
3212053;"Pyrzyce (3)";1;
3212054;"Pyrzyce - miasto (4)";1;
3213000;"Powiat sławieński";2;
3213011;"Darłowo (1)";1;
3213021;"Sławno (1)";1;
3214000;"Powiat stargardzki";5;
3214011;"Stargard (1)";5;
3215000;"Powiat szczecinecki";8;
3215011;"Szczecinek (1)";5;
3215033;"Biały Bór (3)";2;
3215034;"Biały Bór - miasto (4)";2;
3215043;"Borne Sulinowo (3)";1;
3215044;"Borne Sulinowo - miasto (4)";1;
3216000;"Powiat świdwiński";2;
3216011;"Świdwin (1)";1;
3216033;"Połczyn-Zdrój (3)";1;
3216034;"Połczyn-Zdrój - miasto (4)";1;
3217000;"Powiat wałecki";2;
3217011;"Wałcz (1)";2;
3218000;"Powiat łobeski";2;
3218023;"Łobez (3)";1;
3218024;"Łobez - miasto (4)";1;
3218043;"Resko (3)";1;
3218044;"Resko - miasto (4)";1;
3261000;"Powiat m.Koszalin";7;
3261011;"Koszalin (1)";7;
3262000;"Powiat m.Szczecin";27;
3262011;"Szczecin (1)";27;
3263000;"Powiat m.Świnoujście";4;
3263011;"Świnoujście (1)";4;
