"Kod";"Nazwa";"przystanki autobusowe (z trolejbusowymi) i tramwajowe;ogółem;2020;[szt.]";
1001072;"Szczerców (2)";75;
1001083;"Zelów (3)";192;
1002000;"Powiat kutnowski";687;
1002011;"Kutno (1)";187;
1002022;"Bedlno (2)";77;
1002032;"Dąbrowice (2)";9;
1002043;"Krośniewice (3)";28;
1002052;"Krzyżanów (2)";28;
1002062;"Kutno (2)";216;
1002072;"Łanięta (2)";15;
1002082;"Nowe Ostrowy (2)";31;
1002092;"Oporów (2)";11;
1002102;"Strzelce (2)";39;
1002113;"Żychlin (3)";46;
1003000;"Powiat łaski";265;
1003012;"Buczek (2)";20;
1003023;"Łask (3)";100;
1003032;"Sędziejowice (2)";86;
1003042;"Widawa (2)";39;
1003052;"Wodzierady (2)";20;
1004000;"Powiat łęczycki";235;
1004011;"Łęczyca (1)";7;
1004022;"Daszyna (2)";18;
1004032;"Góra Świętej Małgorzaty (2)";25;
1004042;"Grabów (2)";32;
1004052;"Łęczyca (2)";51;
1004063;"Piątek (3)";71;
1004072;"Świnice Warckie (2)";28;
1004082;"Witonia (2)";3;
1005000;"Powiat łowicki";335;
1005011;"Łowicz (1)";104;
1005022;"Bielawy (2)";28;
1005032;"Chąśno (2)";31;
1005042;"Domaniewice (2)";10;
1005052;"Kiernozia (2)";36;
1005062;"Kocierzew Południowy (2)";6;
1005072;"Łowicz (2)";41;
1005082;"Łyszkowice (2)";21;
1005092;"Nieborów (2)";18;
1005102;"Zduny (2)";40;
1006000;"Powiat łódzki wschodni";387;
1006022;"Andrespol (2)";59;
1006032;"Brójce (2)";57;
1006073;"Koluszki (3)";59;
1006082;"Nowosolna (2)";71;
1006103;"Rzgów (3)";106;
1006113;"Tuszyn (3)";35;
1007000;"Powiat opoczyński";600;
1007012;"Białaczów (2)";34;
1007023;"Drzewica (3)";86;
1007032;"Mniszków (2)";70;
1007043;"Opoczno (3)";218;
1007052;"Paradyż (2)";48;
1007062;"Poświętne (2)";14;
1007072;"Sławno (2)";65;
1007082;"Żarnów (2)";65;
1008000;"Powiat pabianicki";438;
1008011;"Konstantynów Łódzki (1)";51;
1008021;"Pabianice (1)";184;
1008032;"Dłutów (2)";67;
1008042;"Dobroń (2)";15;
1008052;"Ksawerów (2)";58;
1008062;"Lutomiersk (2)";35;
1008072;"Pabianice (2)";28;
1009000;"Powiat pajęczański";281;
1009013;"Działoszyn (3)";37;
1009022;"Kiełczygłów (2)";31;
1009032;"Nowa Brzeźnica (2)";25;
1009043;"Pajęczno (3)";48;
1009052;"Rząśnia (2)";56;
1009062;"Siemkowice (2)";23;
1009072;"Strzelce Wielkie (2)";29;
1009082;"Sulmierzyce (2)";32;
1010000;"Powiat piotrkowski";716;
1010012;"Aleksandrów (2)";46;
1010022;"Czarnocin (2)";63;
1010032;"Gorzkowice (2)";88;
1010042;"Grabica (2)";21;
1010052;"Łęki Szlacheckie (2)";44;
1010062;"Moszczenica (2)";86;
1010072;"Ręczno (2)";23;
1010082;"Rozprza (2)";67;
1010093;"Sulejów (3)";106;
1010102;"Wola Krzysztoporska (2)";102;
1010113;"Wolbórz (3)";70;
1011000;"Powiat poddębicki";331;
1011012;"Dalików (2)";35;
1011022;"Pęczniew (2)";25;
1011033;"Poddębice (3)";136;
1011043;"Uniejów (3)";36;
1011052;"Wartkowice (2)";51;
1011062;"Zadzim (2)";48;
1012000;"Powiat radomszczański";773;
1012011;"Radomsko (1)";217;
1012022;"Dobryszyce (2)";21;
1012032;"Gidle (2)";65;
1012042;"Gomunice (2)";49;
1012053;"Kamieńsk (3)";83;
1012062;"Kobiele Wielkie (2)";16;
1012072;"Kodrąb (2)";27;
1012082;"Lgota Wielka (2)";54;
1012092;"Ładzice (2)";38;
1012102;"Masłowice (2)";28;
1012113;"Przedbórz (3)";46;
1012122;"Radomsko (2)";51;
1012132;"Wielgomłyny (2)";37;
1012142;"Żytno (2)";41;
1013000;"Powiat rawski";248;
1013011;"Rawa Mazowiecka (1)";42;
1013023;"Biała Rawska (3)";90;
1013032;"Cielądz (2)";21;
1013042;"Rawa Mazowiecka (2)";60;
1013052;"Regnów (2)";14;
1013062;"Sadkowice (2)";21;
1014000;"Powiat sieradzki";616;
1014011;"Sieradz (1)";211;
1014023;"Błaszki (3)";54;
1014032;"Brąszewice (2)";27;
1014042;"Brzeźnio (2)";65;
1014052;"Burzenin (2)";46;
1014062;"Goszczanów (2)";36;
1014072;"Klonowa (2)";32;
1014082;"Sieradz (2)";32;
1014093;"Warta (3)";66;
1014102;"Wróblew (2)";14;
1014113;"Złoczew (3)";33;
1015000;"Powiat skierniewicki";150;
1015012;"Bolimów (2)";14;
1015022;"Głuchów (2)";20;
1015032;"Godzianów (2)";12;
1015042;"Kowiesy (2)";32;
1015052;"Lipce Reymontowskie (2)";6;
1015062;"Maków (2)";6;
1015072;"Nowy Kawęczyn (2)";20;
1015082;"Skierniewice (2)";35;
1015092;"Słupia (2)";5;
1016000;"Powiat tomaszowski";616;
1016011;"Tomaszów Mazowiecki (1)";258;
1016022;"Będków (2)";48;
1016032;"Budziszewice (2)";13;
1016042;"Czerniewice (2)";63;
1016052;"Inowłódz (2)";12;
1016062;"Lubochnia (2)";47;
1016072;"Rokiciny (2)";49;
1016082;"Rzeczyca (2)";47;
1016092;"Tomaszów Mazowiecki (2)";56;
1016102;"Ujazd (2)";15;
1016112;"Żelechlinek (2)";8;
1017000;"Powiat wieluński";517;
1017012;"Biała (2)";39;
1017022;"Czarnożyły (2)";33;
1017032;"Konopnica (2)";24;
1017042;"Mokrsko (2)";39;
1017052;"Osjaków (2)";43;
1017062;"Ostrówek (2)";35;
1017072;"Pątnów (2)";76;
1017082;"Skomlin (2)";19;
1017093;"Wieluń (3)";169;
1017102;"Wierzchlas (2)";40;
1018000;"Powiat wieruszowski";204;
1018012;"Bolesławiec (2)";21;
1018022;"Czastary (2)";19;
1018032;"Galewice (2)";28;
1018043;"Lututów (3)";30;
1018052;"Łubnice (2)";30;
1018062;"Sokolniki (2)";39;
1018073;"Wieruszów (3)";37;
1019000;"Powiat zduńskowolski";302;
1019011;"Zduńska Wola (1)";141;
1019023;"Szadek (3)";28;
1019032;"Zapolice (2)";24;
1019042;"Zduńska Wola (2)";109;
1020000;"Powiat zgierski";858;
1020011;"Głowno (1)";56;
1020021;"Ozorków (1)";34;
1020031;"Zgierz (1)";195;
1020043;"Aleksandrów Łódzki (3)";142;
1020052;"Głowno (2)";26;
1020062;"Ozorków (2)";104;
1020072;"Parzęczew (2)";53;
1020083;"Stryków (3)";72;
1020092;"Zgierz (2)";176;
1021000;"Powiat brzeziński";160;
1021011;"Brzeziny (1)";34;
1021022;"Brzeziny (2)";80;
1021032;"Dmosin (2)";18;
1021042;"Jeżów (2)";20;
1021052;"Rogów (2)";8;
1061000;"Powiat m.Łódź";2057;
1061011;"Łódź (1)";2057;
1062000;"Powiat m.Piotrków Trybunalski";266;
1062011;"Piotrków Trybunalski (1)";266;
1063000;"Powiat m.Skierniewice";185;
1063011;"Skierniewice (1)";185;
1200000;"MAŁOPOLSKIE";15617;
1201000;"Powiat bocheński";819;
1201011;"Bochnia (1)";107;
1201022;"Bochnia (2)";307;
1201032;"Drwinia (2)";43;
1201042;"Lipnica Murowana (2)";58;
1201052;"Łapanów (2)";82;
1201063;"Nowy Wiśnicz (3)";118;
1201072;"Rzezawa (2)";43;
1201082;"Trzciana (2)";31;
1201092;"Żegocina (2)";30;
1202000;"Powiat brzeski";610;
1202012;"Borzęcin (2)";83;
1202023;"Brzesko (3)";301;
1202033;"Czchów (3)";9;
1202042;"Dębno (2)";59;
1202052;"Gnojnik (2)";50;
1202062;"Iwkowa (2)";19;
1202072;"Szczurowa (2)";89;
1203000;"Powiat chrzanowski";551;
1203013;"Alwernia (3)";44;
1203022;"Babice (2)";55;
1203033;"Chrzanów (3)";162;
1203043;"Libiąż (3)";121;
1203053;"Trzebinia (3)";169;
1204000;"Powiat dąbrowski";219;
1204012;"Bolesław (2)";12;
1204023;"Dąbrowa Tarnowska (3)";91;
1204032;"Gręboszów (2)";16;
1204042;"Mędrzechów (2)";22;
1204052;"Olesno (2)";12;
1204062;"Radgoszcz (2)";37;
1204073;"Szczucin (3)";29;
1205000;"Powiat gorlicki";649;
1205011;"Gorlice (1)";95;
1205023;"Biecz (3)";112;
1205033;"Bobowa (3)";54;
1205042;"Gorlice (2)";130;
1205052;"Lipinki (2)";49;
1205062;"Łużna (2)";34;
1205072;"Moszczenica (2)";15;
1205082;"Ropa (2)";31;
1205092;"Sękowa (2)";42;
1205102;"Uście Gorlickie (2)";87;
1206000;"Powiat krakowski";1593;
1206012;"Czernichów (2)";107;
1206022;"Igołomia-Wawrzeńczyce (2)";34;
1206032;"Iwanowice (2)";49;
1206042;"Jerzmanowice-Przeginia (2)";78;
1206052;"Kocmyrzów-Luborzyca (2)";51;
1206063;"Krzeszowice (3)";216;
1206072;"Liszki (2)";157;
1206082;"Michałowice (2)";40;
1206092;"Mogilany (2)";88;
1206103;"Skała (3)";86;
1206113;"Skawina (3)";257;
1206123;"Słomniki (3)";16;
1206132;"Sułoszowa (2)";17;
1206143;"Świątniki Górne (3)";35;
1206152;"Wielka Wieś (2)";41;
1206162;"Zabierzów (2)";193;
1206172;"Zielonki (2)";128;
1207000;"Powiat limanowski";633;
1207011;"Limanowa (1)";72;
1207021;"Mszana Dolna (1)";14;
1207032;"Dobra (2)";72;
1207042;"Jodłownik (2)";33;
1207052;"Kamienica (2)";53;
1207062;"Laskowa (2)";46;
1207072;"Limanowa (2)";129;
1207082;"Łukowica (2)";42;
1207092;"Mszana Dolna (2)";39;
1207102;"Niedźwiedź (2)";51;
1207112;"Słopnice (2)";40;
1207122;"Tymbark (2)";42;
1208000;"Powiat miechowski";543;
1208012;"Charsznica (2)";106;
1208022;"Gołcza (2)";88;
1208032;"Kozłów (2)";62;
1208042;"Książ Wielki (2)";75;
1208053;"Miechów (3)";153;
1208062;"Racławice (2)";30;
1208072;"Słaboszów (2)";29;
1209000;"Powiat myślenicki";526;
1209013;"Dobczyce (3)";39;
1209022;"Lubień (2)";30;
1209033;"Myślenice (3)";121;
1209042;"Pcim (2)";100;
1209052;"Raciechowice (2)";37;
1209062;"Siepraw (2)";70;
1209073;"Sułkowice (3)";55;
1209082;"Tokarnia (2)";51;
1209092;"Wiśniowa (2)";23;
1210000;"Powiat nowosądecki";1115;
1210011;"Grybów (1)";19;
1210022;"Chełmiec (2)";71;
1210032;"Gródek nad Dunajcem (2)";32;
1210042;"Grybów (2)";125;
1210052;"Kamionka Wielka (2)";76;
1210062;"Korzenna (2)";64;
1210073;"Krynica-Zdrój (3)";147;
1210082;"Łabowa (2)";26;
1210092;"Łącko (2)";130;
1210102;"Łososina Dolna (2)";26;
1210113;"Muszyna (3)";62;
1210122;"Nawojowa (2)";44;
1210133;"Piwniczna-Zdrój (3)";54;
1210142;"Podegrodzie (2)";120;
1210152;"Rytro (2)";14;
1210163;"Stary Sącz (3)";105;
1211000;"Powiat nowotarski";667;
1211011;"Nowy Targ (1)";116;
1211023;"Szczawnica (3)";25;
1211032;"Czarny Dunajec (2)";101;
1211042;"Czorsztyn (2)";22;
1211052;"Jabłonka (2)";87;
1211062;"Krościenko nad Dunajcem (2)";3;
1211072;"Lipnica Wielka (2)";14;
1211082;"Łapsze Niżne (2)";51;
1211092;"Nowy Targ (2)";24;
1211102;"Ochotnica Dolna (2)";9;
1211112;"Raba Wyżna (2)";41;
1211123;"Rabka-Zdrój (3)";81;
1211132;"Spytkowice (2)";21;
1211142;"Szaflary (2)";72;
1212000;"Powiat olkuski";718;
1212011;"Bukowno (1)";86;
1212032;"Bolesław (2)";92;
1212042;"Klucze (2)";126;
1212053;"Olkusz (3)";309;
1212062;"Trzyciąż (2)";47;
1212073;"Wolbrom (3)";58;
1213000;"Powiat oświęcimski";626;
1213011;"Oświęcim (1)";121;
1213023;"Brzeszcze (3)";60;
1213033;"Chełmek (3)";52;
1213043;"Kęty (3)";142;
1213052;"Osiek (2)";32;
1213062;"Oświęcim (2)";144;
1213072;"Polanka Wielka (2)";22;
1213082;"Przeciszów (2)";7;
1213093;"Zator (3)";46;
1214000;"Powiat proszowicki";244;
1214012;"Koniusza (2)";52;
1214023;"Koszyce (3)";58;
1214033;"Nowe Brzesko (3)";10;
1214042;"Pałecznica (2)";26;
1214053;"Proszowice (3)";87;
1214062;"Radziemice (2)";11;
1215000;"Powiat suski";392;
1215011;"Jordanów (1)";5;
1215021;"Sucha Beskidzka (1)";21;
1215032;"Budzów (2)";48;
1215042;"Bystra-Sidzina (2)";44;
1215052;"Jordanów (2)";100;
1215063;"Maków Podhalański (3)";21;
1215072;"Stryszawa (2)";60;
1215082;"Zawoja (2)";74;
1215092;"Zembrzyce (2)";19;
1216000;"Powiat tarnowski";1060;
1216013;"Ciężkowice (3)";33;
1216022;"Gromnik (2)";51;
1216032;"Lisia Góra (2)";116;
1216042;"Pleśna (2)";16;
1216053;"Radłów (3)";42;
1216063;"Ryglice (3)";31;
1216072;"Rzepiennik Strzyżewski (2)";33;
1216082;"Skrzyszów (2)";108;
1216092;"Tarnów (2)";179;
1216103;"Tuchów (3)";6;
1216112;"Wierzchosławice (2)";82;
1216122;"Wietrzychowice (2)";15;
1216133;"Wojnicz (3)";72;
1216143;"Zakliczyn (3)";187;
1216153;"Żabno (3)";71;
1216162;"Szerzyny (2)";18;
1217000;"Powiat tatrzański";421;
1217011;"Zakopane (1)";128;
1217022;"Biały Dunajec (2)";66;
1217032;"Bukowina Tatrzańska (2)";77;
1217042;"Kościelisko (2)";46;
1217052;"Poronin (2)";104;
1218000;"Powiat wadowicki";704;
1218013;"Andrychów (3)";218;
1218022;"Brzeźnica (2)";95;
1218033;"Kalwaria Zebrzydowska (3)";99;
1218042;"Lanckorona (2)";14;
1218052;"Mucharz (2)";22;
1218062;"Spytkowice (2)";64;
1218072;"Stryszów (2)";41;
1218082;"Tomice (2)";41;
1218093;"Wadowice (3)";98;
1218102;"Wieprz (2)";12;
1219000;"Powiat wielicki";599;
1219012;"Biskupice (2)";117;
1219022;"Gdów (2)";209;
1219032;"Kłaj (2)";106;
1219043;"Niepołomice (3)";54;
1219053;"Wieliczka (3)";113;
1261000;"Powiat m.Kraków";1843;
1261011;"Kraków (1)";1843;
1262000;"Powiat m.Nowy Sącz";713;
1262011;"Nowy Sącz (1)";713;
1263000;"Powiat m.Tarnów";372;
1263011;"Tarnów (1)";372;
1400000;"MAZOWIECKIE";22205;
1401000;"Powiat białobrzeski";143;
1401013;"Białobrzegi (3)";29;
1401022;"Promna (2)";30;
1401032;"Radzanów (2)";25;
1401042;"Stara Błotnica (2)";15;
1401052;"Stromiec (2)";20;
1401063;"Wyśmierzyce (3)";24;
1402000;"Powiat ciechanowski";562;
1402011;"Ciechanów (1)";218;
1402022;"Ciechanów (2)";52;
1402033;"Glinojeck (3)";72;
1402042;"Gołymin-Ośrodek (2)";58;
1402052;"Grudusk (2)";14;
1402062;"Ojrzeń (2)";21;
1402072;"Opinogóra Górna (2)";70;
1402082;"Regimin (2)";37;
1402092;"Sońsk (2)";20;
1403000;"Powiat garwoliński";642;
1403011;"Garwolin (1)";13;
1403021;"Łaskarzew (1)";7;
1403032;"Borowie (2)";55;
1403042;"Garwolin (2)";133;
1403052;"Górzno (2)";60;
1403062;"Łaskarzew (2)";25;
1403072;"Maciejowice (2)";51;
1403082;"Miastków Kościelny (2)";43;
1403092;"Parysów (2)";32;
1403103;"Pilawa (3)";50;
1403112;"Sobolew (2)";21;
1403122;"Trojanów (2)";28;
1403132;"Wilga (2)";70;
1403143;"Żelechów (3)";54;
1404000;"Powiat gostyniński";240;
1404011;"Gostynin (1)";38;
1404022;"Gostynin (2)";78;
1404032;"Pacyna (2)";26;
1404043;"Sanniki (3)";36;
1404052;"Szczawin Kościelny (2)";62;
1405000;"Powiat grodziski";615;
1405011;"Milanówek (1)";28;
1405021;"Podkowa Leśna (1)";2;
1405032;"Baranów (2)";58;
1405043;"Grodzisk Mazowiecki (3)";325;
1405052;"Jaktorów (2)";5;
1405062;"Żabia Wola (2)";197;
1406000;"Powiat grójecki";530;
1406012;"Belsk Duży (2)";85;
1406022;"Błędów (2)";60;
1406032;"Chynów (2)";27;
1406042;"Goszczyn (2)";20;
1406053;"Grójec (3)";86;
1406062;"Jasieniec (2)";89;
1406073;"Mogielnica (3)";48;
1406083;"Nowe Miasto nad Pilicą (3)";20;
1406092;"Pniewy (2)";34;
1406113;"Warka (3)";61;
1407000;"Powiat kozienicki";194;
1407012;"Garbatka-Letnisko (2)";26;
1407022;"Głowaczów (2)";25;
1407032;"Gniewoszów (2)";17;
1407042;"Grabów nad Pilicą (2)";12;
1407053;"Kozienice (3)";91;
1407062;"Magnuszew (2)";8;
1407072;"Sieciechów (2)";15;
1408000;"Powiat legionowski";528;
1408011;"Legionowo (1)";113;
1408022;"Jabłonna (2)";61;
1408032;"Nieporęt (2)";102;
1408043;"Serock (3)";161;
1408052;"Wieliszew (2)";91;
1409000;"Powiat lipski";469;
1409012;"Chotcza (2)";24;
1409022;"Ciepielów (2)";70;
1409033;"Lipsko (3)";139;
1409042;"Rzeczniów (2)";42;
1409052;"Sienno (2)";88;
1409062;"Solec nad Wisłą (2)";106;
1410000;"Powiat łosicki";277;
1410012;"Huszlew (2)";31;
1410023;"Łosice (3)";103;
1410032;"Olszanka (2)";10;
1410042;"Platerów (2)";2;
1410052;"Sarnaki (2)";113;
1410062;"Stara Kornica (2)";18;
1411000;"Powiat makowski";303;
1411011;"Maków Mazowiecki (1)";14;
1411022;"Czerwonka (2)";33;
1411032;"Karniewo (2)";25;
1411042;"Krasnosielc (2)";51;
1411052;"Młynarze (2)";20;
1411062;"Płoniawy-Bramura (2)";32;
1411073;"Różan (3)";18;
1411082;"Rzewnie (2)";18;
1411092;"Sypniewo (2)";29;
1411102;"Szelków (2)";63;
1412000;"Powiat miński";998;
1412011;"Mińsk Mazowiecki (1)";76;
1412042;"Cegłów (2)";37;
1412052;"Dębe Wielkie (2)";84;
1412062;"Dobre (2)";117;
1412073;"Halinów (3)";147;
1412082;"Jakubów (2)";81;
1412093;"Kałuszyn (3)";54;
1412102;"Latowicz (2)";18;
1412112;"Mińsk Mazowiecki (2)";102;
1412123;"Mrozy (3)";75;
1412132;"Siennica (2)";81;
1412142;"Stanisławów (2)";56;
1412151;"Sulejówek (1)";70;
1413000;"Powiat mławski";490;
1413011;"Mława (1)";103;
1413022;"Dzierzgowo (2)";50;
1413032;"Lipowiec Kościelny (2)";27;
1413042;"Radzanów (2)";5;
1413052;"Strzegowo (2)";75;
1413062;"Stupsk (2)";43;
1413072;"Szreńsk (2)";26;
1413082;"Szydłowo (2)";59;
1413092;"Wieczfnia Kościelna (2)";57;
1413102;"Wiśniewo (2)";45;
1414000;"Powiat nowodworski";378;
1414011;"Nowy Dwór Mazowiecki (1)";87;
1414022;"Czosnów (2)";49;
1414032;"Leoncin (2)";33;
1414043;"Nasielsk (3)";105;
1414052;"Pomiechówek (2)";63;
1414063;"Zakroczym (3)";41;
1415000;"Powiat ostrołęcki";722;
1415012;"Baranowo (2)";43;
1415022;"Czarnia (2)";48;
1415032;"Czerwin (2)";6;
1415042;"Goworowo (2)";225;
1415052;"Kadzidło (2)";42;
1415062;"Lelis (2)";78;
1415072;"Łyse (2)";34;
1415083;"Myszyniec (3)";32;
1415092;"Olszewo-Borki (2)";101;
1415102;"Rzekuń (2)";74;
1415112;"Troszyn (2)";39;
1416000;"Powiat ostrowski";426;
1416011;"Ostrów Mazowiecka (1)";85;
1416022;"Andrzejewo (2)";37;
1416032;"Boguty-Pianki (2)";15;
1416043;"Brok (3)";16;
1416052;"Małkinia Górna (2)";55;
1416062;"Nur (2)";51;
1416072;"Ostrów Mazowiecka (2)";45;
1416082;"Stary Lubotyń (2)";40;
1416092;"Szulborze Wielkie (2)";13;
1416102;"Wąsewo (2)";53;
1416112;"Zaręby Kościelne (2)";16;
1417000;"Powiat otwocki";398;
1417011;"Józefów (1)";30;
1417021;"Otwock (1)";132;
1417032;"Celestynów (2)";32;
1417043;"Karczew (3)";49;
1417052;"Kołbiel (2)";45;
1417062;"Osieck (2)";23;
1417072;"Sobienie-Jeziory (2)";2;
1417082;"Wiązowna (2)";85;
1418000;"Powiat piaseczyński";705;
1418013;"Góra Kalwaria (3)";53;
1418023;"Konstancin-Jeziorna (3)";204;
1418032;"Lesznowola (2)";140;
1418043;"Piaseczno (3)";244;
1418052;"Prażmów (2)";44;
1418063;"Tarczyn (3)";20;
1419000;"Powiat płocki";774;
1419012;"Bielsk (2)";69;
1419022;"Bodzanów (2)";42;
1419032;"Brudzeń Duży (2)";33;
1419042;"Bulkowo (2)";36;
1419053;"Drobin (3)";31;
1419063;"Gąbin (3)";30;
1419072;"Łąck (2)";20;
1419082;"Mała Wieś (2)";17;
1419092;"Nowy Duninów (2)";62;
1419102;"Radzanowo (2)";47;
1419112;"Słubice (2)";19;
1419122;"Słupno (2)";196;
1419132;"Stara Biała (2)";113;
1419142;"Staroźreby (2)";45;
1419153;"Wyszogród (3)";14;
1420000;"Powiat płoński";374;
1420011;"Płońsk (1)";12;
1420021;"Raciąż (1)";1;
1420032;"Baboszewo (2)";45;
1420043;"Czerwińsk nad Wisłą (3)";13;
1420052;"Dzierzążnia (2)";27;
1420062;"Joniec (2)";9;
1420072;"Naruszewo (2)";102;
1420082;"Nowe Miasto (2)";14;
1420092;"Płońsk (2)";44;
1420102;"Raciąż (2)";32;
1420112;"Sochocin (2)";23;
1420122;"Załuski (2)";52;
1421000;"Powiat pruszkowski";535;
1421011;"Piastów (1)";40;
1421021;"Pruszków (1)";135;
1421033;"Brwinów (3)";138;
1421042;"Michałowice (2)";64;
1421052;"Nadarzyn (2)";75;
1421062;"Raszyn (2)";83;
1422000;"Powiat przasnyski";262;
1422011;"Przasnysz (1)";36;
1422023;"Chorzele (3)";32;
1422032;"Czernice Borowe (2)";28;
1422042;"Jednorożec (2)";40;
1422052;"Krasne (2)";25;
1422062;"Krzynowłoga Mała (2)";34;
1422072;"Przasnysz (2)";67;
1423000;"Powiat przysuski";202;
1423012;"Borkowice (2)";52;
1423022;"Gielniów (2)";24;
1423032;"Klwów (2)";15;
1423042;"Odrzywół (2)";14;
1423052;"Potworów (2)";16;
1423063;"Przysucha (3)";48;
1423072;"Rusinów (2)";18;
1423082;"Wieniawa (2)";15;
1424000;"Powiat pułtuski";230;
1424012;"Gzy (2)";25;
1424022;"Obryte (2)";23;
1424032;"Pokrzywnica (2)";33;
1424043;"Pułtusk (3)";33;
1424052;"Świercze (2)";21;
1424062;"Winnica (2)";79;
1424072;"Zatory (2)";16;
1425000;"Powiat radomski";615;
1425011;"Pionki (1)";36;
1425022;"Gózd (2)";23;
1425033;"Iłża (3)";88;
1425042;"Jastrzębia (2)";28;
1425052;"Jedlińsk (2)";44;
1425062;"Jedlnia-Letnisko (2)";58;
1425072;"Kowala (2)";20;
1425082;"Pionki (2)";40;
1425092;"Przytyk (2)";44;
1425103;"Skaryszew (3)";101;
1425112;"Wierzbica (2)";26;
1425122;"Wolanów (2)";32;
1425132;"Zakrzew (2)";75;
1426000;"Powiat siedlecki";1062;
1426012;"Domanice (2)";15;
1426022;"Korczew (2)";49;
1426032;"Kotuń (2)";148;
1426042;"Mokobody (2)";94;
1426053;"Mordy (3)";41;
1426062;"Paprotnia (2)";18;
1426072;"Przesmyki (2)";37;
1426082;"Siedlce (2)";274;
1426092;"Skórzec (2)";42;
1426102;"Suchożebry (2)";48;
1426112;"Wiśniew (2)";86;
1426122;"Wodynie (2)";55;
1426132;"Zbuczyn (2)";155;
1427000;"Powiat sierpecki";238;
1427011;"Sierpc (1)";23;
1427022;"Gozdowo (2)";42;
1427032;"Mochowo (2)";23;
1427042;"Rościszewo (2)";31;
1427052;"Sierpc (2)";60;
1427062;"Szczutowo (2)";29;
1427072;"Zawidz (2)";30;
1428000;"Powiat sochaczewski";498;
1428011;"Sochaczew (1)";109;
1428022;"Brochów (2)";81;
1428032;"Iłów (2)";54;
1428042;"Młodzieszyn (2)";36;
1428052;"Nowa Sucha (2)";17;
1428062;"Rybno (2)";77;
1428072;"Sochaczew (2)";87;
1428082;"Teresin (2)";37;
1429000;"Powiat sokołowski";339;
1429011;"Sokołów Podlaski (1)";37;
1429022;"Bielany (2)";47;
1429032;"Ceranów (2)";24;
1429042;"Jabłonna Lacka (2)";30;
1429053;"Kosów Lacki (3)";36;
1429062;"Repki (2)";62;
1429072;"Sabnie (2)";33;
1429082;"Sokołów Podlaski (2)";37;
1429092;"Sterdyń (2)";33;
1430000;"Powiat szydłowiecki";260;
1430012;"Chlewiska (2)";52;
1430022;"Jastrząb (2)";40;
1430032;"Mirów (2)";50;
1430042;"Orońsko (2)";8;
1430053;"Szydłowiec (3)";110;
1432000;"Powiat warszawski zachodni";513;
1432013;"Błonie (3)";53;
1432022;"Izabelin (2)";38;
1432032;"Kampinos (2)";70;
1432042;"Leszno (2)";20;
1432053;"Łomianki (3)";76;
1432063;"Ożarów Mazowiecki (3)";127;
1432072;"Stare Babice (2)";129;
1433000;"Powiat węgrowski";252;
1433011;"Węgrów (1)";1;
1433022;"Grębków (2)";26;
1433032;"Korytnica (2)";32;
1433042;"Liw (2)";69;
1433053;"Łochów (3)";38;
1433062;"Miedzna (2)";23;
1433072;"Sadowne (2)";30;
1433082;"Stoczek (2)";18;
1433092;"Wierzbno (2)";15;
1434000;"Powiat wołomiński";700;
1434011;"Kobyłka (1)";43;
1434021;"Marki (1)";70;
1434031;"Ząbki (1)";75;
1434041;"Zielonka (1)";78;
1434052;"Dąbrówka (2)";41;
1434062;"Jadów (2)";12;
1434072;"Klembów (2)";23;
1434082;"Poświętne (2)";22;
1434093;"Radzymin (3)";171;
1434102;"Strachówka (2)";33;
1434113;"Tłuszcz (3)";23;
