"Kod";"Nazwa";"przystanki autobusowe (z trolejbusowymi) i tramwajowe;ogółem;2020;[szt.]";
1434123;"Wołomin (3)";109;
1435000;"Powiat wyszkowski";312;
1435012;"Brańszczyk (2)";38;
1435022;"Długosiodło (2)";50;
1435032;"Rząśnik (2)";34;
1435042;"Somianka (2)";77;
1435053;"Wyszków (3)";107;
1435062;"Zabrodzie (2)";6;
1436000;"Powiat zwoleński";195;
1436012;"Kazanów (2)";32;
1436022;"Policzna (2)";48;
1436032;"Przyłęk (2)";40;
1436042;"Tczów (2)";32;
1436053;"Zwoleń (3)";43;
1437000;"Powiat żuromiński";142;
1437013;"Bieżuń (3)";19;
1437022;"Kuczbork-Osada (2)";23;
1437033;"Lubowidz (3)";16;
1437042;"Lutocin (2)";49;
1437052;"Siemiątkowo (2)";14;
1437063;"Żuromin (3)";21;
1438000;"Powiat żyrardowski";496;
1438011;"Żyrardów (1)";87;
1438023;"Mszczonów (3)";169;
1438032;"Puszcza Mariańska (2)";21;
1438042;"Radziejowice (2)";87;
1438052;"Wiskitki (2)";132;
1461000;"Powiat m.Ostrołęka";173;
1461011;"Ostrołęka (1)";173;
1462000;"Powiat m.Płock";386;
1462011;"Płock (1)";386;
1463000;"Powiat m.Radom";575;
1463011;"Radom (1)";575;
1464000;"Powiat m.Siedlce";256;
1464011;"Siedlce (1)";256;
1465000;"Powiat m. st. Warszawa";4196;
1465011;"M.st.Warszawa od 2002 (1)";4196;
1600000;"OPOLSKIE";4337;
1601000;"Powiat brzeski";398;
1601011;"Brzeg (1)";97;
1601022;"Skarbimierz (2)";48;
1601033;"Grodków (3)";72;
1601043;"Lewin Brzeski (3)";61;
1601052;"Lubsza (2)";97;
1601062;"Olszanka (2)";23;
1602000;"Powiat głubczycki";168;
1602013;"Baborów (3)";28;
1602022;"Branice (2)";35;
1602033;"Głubczyce (3)";81;
1602043;"Kietrz (3)";24;
1603000;"Powiat kędzierzyńsko-kozielski";447;
1603011;"Kędzierzyn-Koźle (1)";198;
1603022;"Bierawa (2)";33;
1603032;"Cisek (2)";80;
1603042;"Pawłowiczki (2)";45;
1603052;"Polska Cerekiew (2)";47;
1603062;"Reńska Wieś (2)";44;
1604000;"Powiat kluczborski";345;
1604013;"Byczyna (3)";102;
1604023;"Kluczbork (3)";144;
1604032;"Lasowice Wielkie (2)";36;
1604043;"Wołczyn (3)";63;
1605000;"Powiat krapkowicki";175;
1605013;"Gogolin (3)";60;
1605023;"Krapkowice (3)";28;
1605032;"Strzeleczki (2)";20;
1605042;"Walce (2)";26;
1605053;"Zdzieszowice (3)";41;
1606000;"Powiat namysłowski";160;
1606012;"Domaszowice (2)";25;
1606023;"Namysłów (3)";56;
1606032;"Pokój (2)";38;
1606042;"Świerczów (2)";14;
1606052;"Wilków (2)";27;
1607000;"Powiat nyski";748;
1607013;"Głuchołazy (3)";124;
1607022;"Kamiennik (2)";21;
1607033;"Korfantów (3)";101;
1607042;"Łambinowice (2)";33;
1607053;"Nysa (3)";261;
1607063;"Otmuchów (3)";109;
1607073;"Paczków (3)";43;
1607082;"Pakosławice (2)";10;
1607092;"Skoroszyce (2)";46;
1608000;"Powiat oleski";468;
1608013;"Dobrodzień (3)";116;
1608023;"Gorzów Śląski (3)";62;
1608033;"Olesno (3)";55;
1608043;"Praszka (3)";58;
1608052;"Radłów (2)";23;
1608062;"Rudniki (2)";135;
1608072;"Zębowice (2)";19;
1609000;"Powiat opolski";477;
1609012;"Chrząstowice (2)";23;
1609022;"Dąbrowa (2)";3;
1609032;"Dobrzeń Wielki (2)";25;
1609042;"Komprachcice (2)";33;
1609052;"Łubniany (2)";58;
1609062;"Murów (2)";34;
1609073;"Niemodlin (3)";78;
1609083;"Ozimek (3)";29;
1609092;"Popielów (2)";64;
1609103;"Prószków (3)";34;
1609112;"Tarnów Opolski (2)";24;
1609123;"Tułowice (3)";27;
1609132;"Turawa (2)";45;
1610000;"Powiat prudnicki";217;
1610013;"Biała (3)";37;
1610023;"Głogówek (3)";45;
1610032;"Lubrza (2)";28;
1610043;"Prudnik (3)";107;
1611000;"Powiat strzelecki";253;
1611012;"Izbicko (2)";20;
1611022;"Jemielnica (2)";38;
1611033;"Kolonowskie (3)";14;
1611043;"Leśnica (3)";6;
1611053;"Strzelce Opolskie (3)";90;
1611063;"Ujazd (3)";59;
1611073;"Zawadzkie (3)";26;
1661000;"Powiat m.Opole";481;
1661011;"Opole (1)";481;
1800000;"PODKARPACKIE";10389;
1801000;"Powiat bieszczadzki";168;
1801032;"Czarna (2)";24;
1801052;"Lutowiska (2)";28;
1801083;"Ustrzyki Dolne (3)";116;
1802000;"Powiat brzozowski";329;
1802013;"Brzozów (3)";70;
1802022;"Domaradz (2)";22;
1802032;"Dydnia (2)";72;
1802042;"Haczów (2)";73;
1802052;"Jasienica Rosielna (2)";51;
1802062;"Nozdrzec (2)";41;
1803000;"Powiat dębicki";673;
1803011;"Dębica (1)";164;
1803023;"Brzostek (3)";50;
1803032;"Czarna (2)";47;
1803042;"Dębica (2)";135;
1803052;"Jodłowa (2)";40;
1803063;"Pilzno (3)";181;
1803072;"Żyraków (2)";56;
1804000;"Powiat jarosławski";591;
1804011;"Jarosław (1)";96;
1804021;"Radymno (1)";9;
1804032;"Chłopice (2)";24;
1804042;"Jarosław (2)";88;
1804052;"Laszki (2)";37;
1804062;"Pawłosiów (2)";82;
1804073;"Pruchnik (3)";47;
1804082;"Radymno (2)";66;
1804092;"Rokietnica (2)";35;
1804102;"Roźwienica (2)";36;
1804112;"Wiązownica (2)";71;
1805000;"Powiat jasielski";771;
1805011;"Jasło (1)";148;
1805022;"Brzyska (2)";42;
1805032;"Dębowiec (2)";108;
1805042;"Jasło (2)";213;
1805053;"Kołaczyce (3)";58;
1805062;"Krempna (2)";22;
1805072;"Nowy Żmigród (2)";5;
1805082;"Osiek Jasielski (2)";11;
1805092;"Skołyszyn (2)";55;
1805112;"Tarnowiec (2)";109;
1806000;"Powiat kolbuszowski";246;
1806012;"Cmolas (2)";20;
1806023;"Kolbuszowa (3)";91;
1806032;"Majdan Królewski (2)";36;
1806042;"Niwiska (2)";29;
1806052;"Raniżów (2)";29;
1806062;"Dzikowiec (2)";41;
1807000;"Powiat krośnieński";687;
1807012;"Chorkówka (2)";77;
1807023;"Dukla (3)";86;
1807033;"Iwonicz-Zdrój (3)";39;
1807043;"Jedlicze (3)";111;
1807052;"Korczyna (2)";68;
1807062;"Krościenko Wyżne (2)";25;
1807072;"Miejsce Piastowe (2)";64;
1807083;"Rymanów (3)";111;
1807092;"Wojaszówka (2)";94;
1807102;"Jaśliska (2)";12;
1808000;"Powiat leżajski";255;
1808011;"Leżajsk (1)";21;
1808022;"Grodzisko Dolne (2)";32;
1808032;"Kuryłówka (2)";23;
1808042;"Leżajsk (2)";47;
1808053;"Nowa Sarzyna (3)";132;
1809000;"Powiat lubaczowski";246;
1809011;"Lubaczów (1)";11;
1809023;"Cieszanów (3)";51;
1809032;"Horyniec-Zdrój (2)";17;
1809042;"Lubaczów (2)";44;
1809053;"Narol (3)";35;
1809063;"Oleszyce (3)";17;
1809072;"Stary Dzików (2)";23;
1809082;"Wielkie Oczy (2)";48;
1810000;"Powiat łańcucki";352;
1810011;"Łańcut (1)";44;
1810022;"Białobrzegi (2)";65;
1810032;"Czarna (2)";80;
1810042;"Łańcut (2)";76;
1810052;"Markowa (2)";54;
1810062;"Rakszawa (2)";20;
1810072;"Żołynia (2)";13;
1811000;"Powiat mielecki";607;
1811011;"Mielec (1)";242;
1811022;"Borowa (2)";24;
1811032;"Czermin (2)";39;
1811042;"Gawłuszowice (2)";20;
1811052;"Mielec (2)";68;
1811062;"Padew Narodowa (2)";36;
1811073;"Przecław (3)";37;
1811083;"Radomyśl Wielki (3)";49;
1811092;"Tuszów Narodowy (2)";24;
1811102;"Wadowice Górne (2)";68;
1812000;"Powiat niżański";259;
1812012;"Harasiuki (2)";40;
1812022;"Jarocin (2)";56;
1812032;"Jeżowe (2)";41;
1812042;"Krzeszów (2)";25;
1812053;"Nisko (3)";54;
1812063;"Rudnik nad Sanem (3)";21;
1812073;"Ulanów (3)";22;
1813000;"Powiat przemyski";430;
1813012;"Bircza (2)";75;
1813022;"Dubiecko (2)";27;
1813032;"Fredropol (2)";35;
1813042;"Krasiczyn (2)";31;
1813052;"Krzywcza (2)";31;
1813062;"Medyka (2)";35;
1813072;"Orły (2)";60;
1813082;"Przemyśl (2)";76;
1813092;"Stubno (2)";24;
1813102;"Żurawica (2)";36;
1814000;"Powiat przeworski";269;
1814011;"Przeworsk (1)";21;
1814022;"Adamówka (2)";32;
1814032;"Gać (2)";24;
1814042;"Jawornik Polski (2)";14;
1814053;"Kańczuga (3)";59;
1814062;"Przeworsk (2)";33;
1814073;"Sieniawa (3)";31;
1814082;"Tryńcza (2)";25;
1814092;"Zarzecze (2)";30;
1815000;"Powiat ropczycko-sędziszowski";244;
1815012;"Iwierzyce (2)";41;
1815022;"Ostrów (2)";35;
1815033;"Ropczyce (3)";64;
1815043;"Sędziszów Małopolski (3)";61;
1815052;"Wielopole Skrzyńskie (2)";43;
1816000;"Powiat rzeszowski";1210;
1816011;"Dynów (1)";18;
1816023;"Błażowa (3)";36;
1816033;"Boguchwała (3)";161;
1816042;"Chmielnik (2)";82;
1816052;"Dynów (2)";80;
1816063;"Głogów Małopolski (3)";205;
1816072;"Hyżne (2)";42;
1816082;"Kamień (2)";32;
1816092;"Krasne (2)";76;
1816102;"Lubenia (2)";46;
1816113;"Sokołów Małopolski (3)";98;
1816122;"Świlcza (2)";110;
1816132;"Trzebownisko (2)";168;
1816143;"Tyczyn (3)";56;
1817000;"Powiat sanocki";498;
1817011;"Sanok (1)";116;
1817022;"Besko (2)";21;
1817032;"Bukowsko (2)";58;
1817042;"Komańcza (2)";78;
1817052;"Sanok (2)";66;
1817062;"Tyrawa Wołoska (2)";43;
1817073;"Zagórz (3)";66;
1817082;"Zarszyn (2)";50;
1818000;"Powiat stalowowolski";496;
1818011;"Stalowa Wola (1)";195;
1818022;"Bojanów (2)";36;
1818032;"Pysznica (2)";99;
1818042;"Radomyśl nad Sanem (2)";65;
1818053;"Zaklików (3)";34;
1818062;"Zaleszany (2)";67;
1819000;"Powiat strzyżowski";363;
1819012;"Czudec (2)";82;
1819022;"Frysztak (2)";122;
1819032;"Niebylec (2)";41;
1819043;"Strzyżów (3)";71;
1819052;"Wiśniowa (2)";47;
1820000;"Powiat tarnobrzeski";220;
1820013;"Baranów Sandomierski (3)";79;
1820022;"Gorzyce (2)";39;
1820032;"Grębów (2)";44;
1820043;"Nowa Dęba (3)";58;
1821000;"Powiat leski";180;
1821012;"Baligród (2)";30;
1821022;"Cisna (2)";18;
1821033;"Lesko (3)";54;
1821042;"Olszanica (2)";22;
1821052;"Solina (2)";56;
1861000;"Powiat m.Krosno";258;
1861011;"Krosno (1)";258;
1862000;"Powiat m.Przemyśl";229;
1862011;"Przemyśl (1)";229;
1863000;"Powiat m.Rzeszów";638;
1863011;"Rzeszów (1)";638;
1864000;"Powiat m.Tarnobrzeg";170;
1864011;"Tarnobrzeg (1)";170;
2000000;"PODLASKIE";6720;
2001000;"Powiat augustowski";254;
2001011;"Augustów (1)";79;
2001022;"Augustów (2)";44;
2001032;"Bargłów Kościelny (2)";16;
2001043;"Lipsk (3)";42;
2001052;"Nowinka (2)";24;
2001062;"Płaska (2)";18;
2001072;"Sztabin (2)";31;
2002000;"Powiat białostocki";1340;
2002013;"Choroszcz (3)";198;
2002023;"Czarna Białostocka (3)";42;
2002032;"Dobrzyniewo Duże (2)";135;
2002042;"Gródek (2)";86;
2002052;"Juchnowiec Kościelny (2)";96;
2002063;"Łapy (3)";60;
2002073;"Michałowo (3)";138;
2002082;"Poświętne (2)";22;
2002093;"Supraśl (3)";88;
2002103;"Suraż (3)";22;
2002112;"Turośń Kościelna (2)";89;
2002123;"Tykocin (3)";42;
2002133;"Wasilków (3)";36;
2002143;"Zabłudów (3)";238;
2002152;"Zawady (2)";48;
2003000;"Powiat bielski";372;
2003011;"Bielsk Podlaski (1)";102;
2003021;"Brańsk (1)";1;
2003032;"Bielsk Podlaski (2)";35;
2003042;"Boćki (2)";40;
2003052;"Brańsk (2)";109;
2003062;"Orla (2)";10;
2003072;"Rudka (2)";9;
2003082;"Wyszki (2)";66;
2004000;"Powiat grajewski";376;
2004011;"Grajewo (1)";30;
2004022;"Grajewo (2)";106;
2004032;"Radziłów (2)";52;
2004043;"Rajgród (3)";118;
2004053;"Szczuczyn (3)";42;
2004062;"Wąsosz (2)";28;
2005000;"Powiat hajnowski";482;
2005011;"Hajnówka (1)";95;
2005022;"Białowieża (2)";31;
2005032;"Czeremcha (2)";13;
2005042;"Czyże (2)";61;
2005052;"Dubicze Cerkiewne (2)";46;
2005062;"Hajnówka (2)";85;
2005073;"Kleszczele (3)";36;
2005082;"Narew (2)";90;
2005092;"Narewka (2)";25;
2006000;"Powiat kolneński";146;
2006011;"Kolno (1)";4;
2006022;"Grabowo (2)";20;
2006032;"Kolno (2)";7;
2006042;"Mały Płock (2)";15;
2006053;"Stawiski (3)";72;
2006062;"Turośl (2)";28;
2007000;"Powiat łomżyński";393;
2007013;"Jedwabne (3)";31;
2007022;"Łomża (2)";108;
2007032;"Miastkowo (2)";30;
2007043;"Nowogród (3)";11;
2007052;"Piątnica (2)";84;
2007062;"Przytuły (2)";19;
2007072;"Śniadowo (2)";78;
2007082;"Wizna (2)";30;
2007092;"Zbójna (2)";2;
2008000;"Powiat moniecki";298;
2008013;"Goniądz (3)";46;
2008022;"Jasionówka (2)";25;
2008032;"Jaświły (2)";82;
2008043;"Knyszyn (3)";42;
2008052;"Krypno (2)";26;
2008063;"Mońki (3)";55;
2008072;"Trzcianne (2)";22;
2009000;"Powiat sejneński";97;
2009011;"Sejny (1)";6;
2009022;"Giby (2)";11;
2009032;"Krasnopol (2)";20;
2009042;"Puńsk (2)";15;
2009052;"Sejny (2)";45;
2010000;"Powiat siemiatycki";417;
2010011;"Siemiatycze (1)";58;
2010023;"Drohiczyn (3)";78;
2010032;"Dziadkowice (2)";14;
2010042;"Grodzisk (2)";19;
2010052;"Mielnik (2)";39;
2010062;"Milejczyce (2)";7;
2010072;"Nurzec-Stacja (2)";40;
2010082;"Perlejewo (2)";70;
2010092;"Siemiatycze (2)";92;
2011000;"Powiat sokólski";405;
2011013;"Dąbrowa Białostocka (3)";24;
2011022;"Janów (2)";13;
2011032;"Korycin (2)";73;
2011043;"Krynki (3)";14;
2011052;"Kuźnica (2)";26;
2011062;"Nowy Dwór (2)";24;
2011072;"Sidra (2)";34;
2011083;"Sokółka (3)";59;
2011093;"Suchowola (3)";80;
2011102;"Szudziałowo (2)";58;
2012000;"Powiat suwalski";322;
2012012;"Bakałarzewo (2)";10;
2012022;"Filipów (2)";59;
2012032;"Jeleniewo (2)";26;
2012042;"Przerośl (2)";26;
2012052;"Raczki (2)";18;
2012062;"Rutka-Tartak (2)";7;
2012072;"Suwałki (2)";117;
2012082;"Szypliszki (2)";25;
2012092;"Wiżajny (2)";34;
2013000;"Powiat wysokomazowiecki";469;
2013011;"Wysokie Mazowieckie (1)";3;
2013023;"Ciechanowiec (3)";107;
2013033;"Czyżew (3)";18;
2013042;"Klukowo (2)";36;
2013052;"Kobylin-Borzymy (2)";70;
2013062;"Kulesze Kościelne (2)";43;
2013072;"Nowe Piekuty (2)";60;
2013082;"Sokoły (2)";26;
2013093;"Szepietowo (3)";45;
2013102;"Wysokie Mazowieckie (2)";61;
2014000;"Powiat zambrowski";219;
2014011;"Zambrów (1)";22;
2014022;"Kołaki Kościelne (2)";24;
2014032;"Rutki (2)";69;
2014042;"Szumowo (2)";70;
2014052;"Zambrów (2)";34;
2061000;"Powiat m.Białystok";684;
2061011;"Białystok (1)";684;
2062000;"Powiat m.Łomża";196;
2062011;"Łomża (1)";196;
2063000;"Powiat m.Suwałki";250;
2063011;"Suwałki (1)";250;
2200000;"POMORSKIE";9750;
2201000;"Powiat bytowski";543;
2201012;"Borzytuchom (2)";37;
2201023;"Bytów (3)";43;
2201032;"Czarna Dąbrówka (2)";65;
2201042;"Kołczygłowy (2)";18;
2201052;"Lipnica (2)";31;
2201063;"Miastko (3)";150;
2201072;"Parchowo (2)";38;
2201082;"Studzienice (2)";12;
2201092;"Trzebielino (2)";68;
2201102;"Tuchomie (2)";81;
2202000;"Powiat chojnicki";550;
2202011;"Chojnice (1)";144;
2202023;"Brusy (3)";35;
2202032;"Chojnice (2)";247;
2202043;"Czersk (3)";67;
2202052;"Konarzyny (2)";57;
2203000;"Powiat człuchowski";315;
2203011;"Człuchów (1)";42;
2203023;"Czarne (3)";20;
2203032;"Człuchów (2)";73;
2203043;"Debrzno (3)";69;
2203052;"Koczała (2)";30;
2203062;"Przechlewo (2)";45;
2203072;"Rzeczenica (2)";36;
2204000;"Powiat gdański";473;
2204011;"Pruszcz Gdański (1)";78;
2204022;"Cedry Wielkie (2)";42;
2204032;"Kolbudy (2)";87;
2204042;"Pruszcz Gdański (2)";124;
2204052;"Przywidz (2)";29;
2204062;"Pszczółki (2)";45;
2204072;"Suchy Dąb (2)";22;
2204082;"Trąbki Wielkie (2)";46;
2205000;"Powiat kartuski";665;
2205012;"Chmielno (2)";56;
2205023;"Kartuzy (3)";179;
2205032;"Przodkowo (2)";17;
2205042;"Sierakowice (2)";29;
2205052;"Somonino (2)";45;
2205062;"Stężyca (2)";22;
2205072;"Sulęczyno (2)";119;
2205083;"Żukowo (3)";198;
2206000;"Powiat kościerski";246;
2206011;"Kościerzyna (1)";78;
2206022;"Dziemiany (2)";16;
2206032;"Karsin (2)";21;
2206042;"Kościerzyna (2)";20;
2206052;"Liniewo (2)";27;
2206062;"Lipusz (2)";11;
2206072;"Nowa Karczma (2)";33;
2206082;"Stara Kiszewa (2)";40;
2207000;"Powiat kwidzyński";641;
2207011;"Kwidzyn (1)";109;
2207022;"Gardeja (2)";73;
2207032;"Kwidzyn (2)";203;
2207043;"Prabuty (3)";36;
2207052;"Ryjewo (2)";116;
2207062;"Sadlinki (2)";104;
2208000;"Powiat lęborski";347;
2208011;"Lębork (1)";85;
2208021;"Łeba (1)";23;
2208032;"Cewice (2)";77;
2208042;"Nowa Wieś Lęborska (2)";123;
2208052;"Wicko (2)";39;
2209000;"Powiat malborski";288;
2209011;"Malbork (1)";58;
2209032;"Lichnowy (2)";33;
2209042;"Malbork (2)";61;
2209062;"Miłoradz (2)";33;
2209073;"Nowy Staw (3)";56;
2209082;"Stare Pole (2)";47;
2210000;"Powiat nowodworski";257;
2210011;"Krynica Morska (1)";21;
2210023;"Nowy Dwór Gdański (3)";103;
2210032;"Ostaszewo (2)";34;
2210042;"Stegna (2)";62;
2210052;"Sztutowo (2)";37;
2211000;"Powiat pucki";420;
2211011;"Hel (1)";8;
2211023;"Jastarnia (3)";21;
2211031;"Puck (1)";29;
2211043;"Władysławowo (3)";11;
2211052;"Kosakowo (2)";94;
2211062;"Krokowa (2)";153;
2211072;"Puck (2)";104;
2212000;"Powiat słupski";651;
2212011;"Ustka (1)";21;
2212022;"Damnica (2)";44;
2212032;"Dębnica Kaszubska (2)";90;
2212042;"Główczyce (2)";48;
2212053;"Kępice (3)";30;
2212062;"Kobylnica (2)";107;
2212072;"Potęgowo (2)";54;
2212082;"Słupsk (2)";124;
2212092;"Smołdzino (2)";23;
2212102;"Ustka (2)";110;
2213000;"Powiat starogardzki";517;
2213013;"Czarna Woda (3)";13;
2213021;"Skórcz (1)";8;
2213031;"Starogard Gdański (1)";146;
2213042;"Bobowo (2)";40;
2213052;"Kaliska (2)";21;
2213062;"Lubichowo (2)";38;
2213072;"Osieczna (2)";7;
2213082;"Osiek (2)";18;
2213093;"Skarszewy (3)";20;
2213102;"Skórcz (2)";18;
2213112;"Smętowo Graniczne (2)";62;
2213122;"Starogard Gdański (2)";90;
2213132;"Zblewo (2)";36;
2214000;"Powiat tczewski";511;
2214011;"Tczew (1)";150;
2214023;"Gniew (3)";95;
2214032;"Morzeszczyn (2)";15;
2214043;"Pelplin (3)";62;
2214052;"Subkowy (2)";54;
2214062;"Tczew (2)";135;
2215000;"Powiat wejherowski";938;
2215011;"Reda (1)";78;
2215021;"Rumia (1)";115;
2215031;"Wejherowo (1)";157;
2215042;"Choczewo (2)";63;
2215052;"Gniewino (2)";105;
2215062;"Linia (2)";43;
2215072;"Luzino (2)";32;
2215082;"Łęczyce (2)";19;
2215092;"Szemud (2)";195;
2215102;"Wejherowo (2)";131;
2216000;"Powiat sztumski";208;
2216013;"Dzierzgoń (3)";34;
2216022;"Mikołajki Pomorskie (2)";12;
2216032;"Stary Dzierzgoń (2)";81;
2216042;"Stary Targ (2)";23;
2216053;"Sztum (3)";58;
2261000;"Powiat m.Gdańsk";1208;
2261011;"Gdańsk (1)";1208;
2262000;"Powiat m.Gdynia";636;
2262011;"Gdynia (1)";636;
2263000;"Powiat m.Słupsk";235;
2263011;"Słupsk (1)";235;
2264000;"Powiat m.Sopot";101;
2264011;"Sopot (1)";101;
2400000;"ŚLĄSKIE";13997;
2401000;"Powiat będziński";819;
2401011;"Będzin (1)";258;
2401021;"Czeladź (1)";65;
2401031;"Wojkowice (1)";70;
2401042;"Bobrowniki (2)";108;
2401052;"Mierzęcice (2)";51;
2401062;"Psary (2)";58;
2401073;"Siewierz (3)";174;
2401081;"Sławków (1)";35;
2402000;"Powiat bielski";579;
2402011;"Szczyrk (1)";35;
2402022;"Bestwina (2)";26;
2402032;"Buczkowice (2)";22;
2402043;"Czechowice-Dziedzice (3)";171;
2402052;"Jasienica (2)";113;
2402062;"Jaworze (2)";33;
2402072;"Kozy (2)";31;
2402082;"Porąbka (2)";64;
2402093;"Wilamowice (3)";44;
2402102;"Wilkowice (2)";40;
2403000;"Powiat cieszyński";434;
2403011;"Cieszyn (1)";135;
2403021;"Ustroń (1)";11;
2403031;"Wisła (1)";50;
2403042;"Brenna (2)";19;
2403052;"Chybie (2)";13;
2403062;"Dębowiec (2)";10;
2403072;"Goleszów (2)";35;
2403082;"Hażlach (2)";55;
2403092;"Istebna (2)";20;
2403103;"Skoczów (3)";10;
2403113;"Strumień (3)";39;
2403122;"Zebrzydowice (2)";37;
2404000;"Powiat częstochowski";974;
2404013;"Blachownia (3)";91;
2404022;"Dąbrowa Zielona (2)";29;
2404032;"Janów (2)";58;
2404042;"Kamienica Polska (2)";50;
2404052;"Kłomnice (2)";63;
2404063;"Koniecpol (3)";65;
2404072;"Konopiska (2)";96;
2404082;"Kruszyna (2)";12;
2404092;"Lelów (2)";53;
2404102;"Mstów (2)";100;
2404112;"Mykanów (2)";89;
2404122;"Olsztyn (2)";45;
2404132;"Poczesna (2)";112;
2404142;"Przyrów (2)";29;
2404152;"Rędziny (2)";61;
2404162;"Starcza (2)";21;
2405000;"Powiat gliwicki";443;
2405011;"Knurów (1)";44;
2405021;"Pyskowice (1)";55;
2405032;"Gierałtowice (2)";64;
2405042;"Pilchowice (2)";57;
2405052;"Rudziniec (2)";59;
2405063;"Sośnicowice (3)";77;
2405073;"Toszek (3)";45;
2405082;"Wielowieś (2)";42;
2406000;"Powiat kłobucki";569;
2406013;"Kłobuck (3)";7;
2406023;"Krzepice (3)";33;
2406032;"Lipie (2)";39;
2406042;"Miedźno (2)";28;
2406052;"Opatów (2)";61;
2406062;"Panki (2)";68;
2406072;"Popów (2)";54;
2406082;"Przystajń (2)";75;
2406092;"Wręczyca Wielka (2)";204;
2407000;"Powiat lubliniecki";265;
2407011;"Lubliniec (1)";38;
2407022;"Boronów (2)";8;
2407032;"Ciasna (2)";27;
2407042;"Herby (2)";34;
2407052;"Kochanowice (2)";32;
2407062;"Koszęcin (2)";25;
2407072;"Pawonków (2)";20;
2407083;"Woźniki (3)";81;
2408000;"Powiat mikołowski";430;
2408011;"Łaziska Górne (1)";114;
2408021;"Mikołów (1)";158;
2408031;"Orzesze (1)";101;
2408042;"Ornontowice (2)";27;
2408052;"Wyry (2)";30;
2409000;"Powiat myszkowski";423;
2409011;"Myszków (1)";185;
2409023;"Koziegłowy (3)";104;
2409032;"Niegowa (2)";55;
2409042;"Poraj (2)";18;
2409053;"Żarki (3)";61;
2410000;"Powiat pszczyński";425;
2410012;"Goczałkowice-Zdrój (2)";11;
2410022;"Kobiór (2)";10;
2410032;"Miedźna (2)";21;
2410042;"Pawłowice (2)";143;
2410053;"Pszczyna (3)";190;
2410062;"Suszec (2)";50;
2411000;"Powiat raciborski";415;
2411011;"Racibórz (1)";191;
2411022;"Kornowac (2)";26;
2411033;"Krzanowice (3)";13;
2411042;"Krzyżanowice (2)";57;
2411053;"Kuźnia Raciborska (3)";29;
2411062;"Nędza (2)";32;
2411072;"Pietrowice Wielkie (2)";34;
2411082;"Rudnik (2)";33;
2412000;"Powiat rybnicki";209;
2412013;"Czerwionka-Leszczyny (3)";98;
2412022;"Gaszowice (2)";24;
2412032;"Jejkowice (2)";6;
2412042;"Lyski (2)";24;
2412052;"Świerklany (2)";57;
2413000;"Powiat tarnogórski";404;
2413011;"Kalety (1)";15;
2413021;"Miasteczko Śląskie (1)";33;
2413031;"Radzionków (1)";26;
2413041;"Tarnowskie Góry (1)";123;
2413052;"Krupski Młyn (2)";13;
2413062;"Ożarowice (2)";47;
2413072;"Świerklaniec (2)";22;
2413082;"Tworóg (2)";40;
2413092;"Zbrosławice (2)";85;
2414000;"Powiat bieruńsko-lędziński";252;
2414011;"Bieruń (1)";92;
2414021;"Imielin (1)";34;
2414031;"Lędziny (1)";40;
2414042;"Bojszowy (2)";56;
2414052;"Chełm Śląski (2)";30;
2415000;"Powiat wodzisławski";273;
2415011;"Pszów (1)";6;
2415021;"Radlin (1)";39;
2415031;"Rydułtowy (1)";47;
2415041;"Wodzisław Śląski (1)";105;
2415052;"Godów (2)";31;
