"Kod";"Nazwa";"przystanki autobusowe (z trolejbusowymi) i tramwajowe;ogółem;2020;[szt.]";
2415062;"Gorzyce (2)";14;
2415072;"Lubomia (2)";5;
2415082;"Marklowice (2)";24;
2415092;"Mszana (2)";2;
2416000;"Powiat zawierciański";615;
2416011;"Poręba (1)";31;
2416021;"Zawiercie (1)";208;
2416032;"Irządze (2)";34;
2416042;"Kroczyce (2)";42;
2416053;"Łazy (3)";81;
2416063;"Ogrodzieniec (3)";40;
2416073;"Pilica (3)";51;
2416083;"Szczekociny (3)";52;
2416092;"Włodowice (2)";35;
2416102;"Żarnowiec (2)";41;
2417000;"Powiat żywiecki";651;
2417011;"Żywiec (1)";170;
2417022;"Czernichów (2)";26;
2417032;"Gilowice (2)";13;
2417042;"Jeleśnia (2)";42;
2417052;"Koszarawa (2)";14;
2417062;"Lipowa (2)";30;
2417072;"Łękawica (2)";42;
2417082;"Łodygowice (2)";54;
2417092;"Milówka (2)";39;
2417102;"Radziechowy-Wieprz (2)";71;
2417112;"Rajcza (2)";31;
2417122;"Ślemień (2)";19;
2417132;"Świnna (2)";33;
2417142;"Ujsoły (2)";35;
2417152;"Węgierska Górka (2)";32;
2461000;"Powiat m.Bielsko-Biała";433;
2461011;"Bielsko-Biała (1)";433;
2462000;"Powiat m.Bytom";297;
2462011;"Bytom (1)";297;
2463000;"Powiat m.Chorzów";184;
2463011;"Chorzów (1)";184;
2464000;"Powiat m.Częstochowa";814;
2464011;"Częstochowa (1)";814;
2465000;"Powiat m.Dąbrowa Górnicza";213;
2465011;"Dąbrowa Górnicza (1)";213;
2466000;"Powiat m.Gliwice";397;
2466011;"Gliwice (1)";397;
2467000;"Powiat m.Jastrzębie-Zdrój";201;
2467011;"Jastrzębie-Zdrój (1)";201;
2468000;"Powiat m.Jaworzno";406;
2468011;"Jaworzno (1)";406;
2469000;"Powiat m.Katowice";725;
2469011;"Katowice (1)";725;
2470000;"Powiat m.Mysłowice";229;
2470011;"Mysłowice (1)";229;
2471000;"Powiat m.Piekary Śląskie";108;
2471011;"Piekary Śląskie (1)";108;
2472000;"Powiat m.Ruda Śląska";270;
2472011;"Ruda Śląska (1)";270;
2473000;"Powiat m.Rybnik";368;
2473011;"Rybnik (1)";368;
2474000;"Powiat m.Siemianowice Śląskie";136;
2474011;"Siemianowice Śląskie (1)";136;
2475000;"Powiat m.Sosnowiec";154;
2475011;"Sosnowiec (1)";154;
2476000;"Powiat m.Świętochłowice";82;
2476011;"Świętochłowice (1)";82;
2477000;"Powiat m.Tychy";400;
2477011;"Tychy (1)";400;
2478000;"Powiat m.Zabrze";220;
2478011;"Zabrze (1)";220;
2479000;"Powiat m.Żory";180;
2479011;"Żory (1)";180;
2600000;"ŚWIĘTOKRZYSKIE";12835;
2601000;"Powiat buski";1053;
2601013;"Busko-Zdrój (3)";270;
2601022;"Gnojno (2)";154;
2601033;"Nowy Korczyn (3)";133;
2601043;"Pacanów (3)";148;
2601052;"Solec-Zdrój (2)";101;
2601063;"Stopnica (3)";115;
2601072;"Tuczępy (2)";31;
2601083;"Wiślica (3)";101;
2602000;"Powiat jędrzejowski";1160;
2602012;"Imielno (2)";98;
2602023;"Jędrzejów (3)";286;
2602033;"Małogoszcz (3)";117;
2602042;"Nagłowice (2)";73;
2602052;"Oksa (2)";70;
2602063;"Sędziszów (3)";181;
2602072;"Słupia (2)";46;
2602082;"Sobków (2)";117;
2602092;"Wodzisław (2)";172;
2603000;"Powiat kazimierski";538;
2603012;"Bejsce (2)";60;
2603022;"Czarnocin (2)";129;
2603033;"Kazimierza Wielka (3)";207;
2603043;"Opatowiec (3)";60;
2603053;"Skalbmierz (3)";82;
2604000;"Powiat kielecki";2578;
2604012;"Bieliny (2)";91;
2604023;"Bodzentyn (3)";157;
2604033;"Chęciny (3)";174;
2604043;"Chmielnik (3)";134;
2604053;"Daleszyce (3)";237;
2604062;"Górno (2)";186;
2604073;"Łagów (3)";130;
2604082;"Łopuszno (2)";182;
2604092;"Masłów (2)";140;
2604102;"Miedziana Góra (2)";96;
2604112;"Mniów (2)";131;
2604123;"Morawica (3)";176;
2604133;"Nowa Słupia (3)";73;
2604142;"Piekoszów (2)";197;
2604153;"Pierzchnica (3)";75;
2604162;"Raków (2)";80;
2604172;"Nowiny (2)";59;
2604182;"Strawczyn (2)";99;
2604192;"Zagnańsk (2)";161;
2605000;"Powiat konecki";806;
2605012;"Fałków (2)";48;
2605022;"Gowarczów (2)";47;
2605033;"Końskie (3)";257;
2605043;"Radoszyce (3)";104;
2605052;"Ruda Maleniecka (2)";50;
2605062;"Słupia Konecka (2)";44;
2605072;"Smyków (2)";53;
2605083;"Stąporków (3)";203;
2606000;"Powiat opatowski";963;
2606012;"Baćkowice (2)";44;
2606022;"Iwaniska (2)";130;
2606032;"Lipnik (2)";96;
2606043;"Opatów (3)";145;
2606053;"Ożarów (3)";175;
2606062;"Sadowie (2)";116;
2606072;"Tarłów (2)";119;
2606082;"Wojciechowice (2)";138;
2607000;"Powiat ostrowiecki";921;
2607011;"Ostrowiec Świętokrzyski (1)";299;
2607022;"Bałtów (2)";73;
2607032;"Bodzechów (2)";180;
2607043;"Ćmielów (3)";114;
2607053;"Kunów (3)";110;
2607062;"Waśniów (2)";145;
2608000;"Powiat pińczowski";556;
2608013;"Działoszyce (3)";79;
2608022;"Kije (2)";50;
2608032;"Michałów (2)";115;
2608043;"Pińczów (3)";243;
2608052;"Złota (2)";69;
2609000;"Powiat sandomierski";789;
2609011;"Sandomierz (1)";94;
2609022;"Dwikozy (2)";64;
2609033;"Klimontów (3)";134;
2609043;"Koprzywnica (3)";79;
2609052;"Łoniów (2)";96;
2609062;"Obrazów (2)";63;
2609072;"Samborzec (2)";126;
2609082;"Wilczyce (2)";38;
2609093;"Zawichost (3)";95;
2610000;"Powiat skarżyski";472;
2610011;"Skarżysko-Kamienna (1)";243;
2610022;"Bliżyn (2)";79;
2610032;"Łączna (2)";20;
2610042;"Skarżysko Kościelne (2)";66;
2610053;"Suchedniów (3)";64;
2611000;"Powiat starachowicki";790;
2611011;"Starachowice (1)";227;
2611022;"Brody (2)";136;
2611032;"Mirzec (2)";122;
2611042;"Pawłów (2)";232;
2611053;"Wąchock (3)";73;
2612000;"Powiat staszowski";971;
2612012;"Bogoria (2)";129;
2612022;"Łubnice (2)";91;
2612033;"Oleśnica (3)";75;
2612043;"Osiek (3)";129;
2612053;"Połaniec (3)";93;
2612062;"Rytwiany (2)";133;
2612073;"Staszów (3)";252;
2612083;"Szydłów (3)";69;
2613000;"Powiat włoszczowski";651;
2613012;"Kluczewsko (2)";68;
2613022;"Krasocin (2)";145;
2613032;"Moskorzew (2)";33;
2613042;"Radków (2)";67;
2613052;"Secemin (2)";92;
2613063;"Włoszczowa (3)";246;
2661000;"Powiat m.Kielce";587;
2661011;"Kielce (1)";587;
2800000;"WARMIŃSKO-MAZURSKIE";6055;
2801000;"Powiat bartoszycki";279;
2801011;"Bartoszyce (1)";67;
2801021;"Górowo Iławeckie (1)";8;
2801032;"Bartoszyce (2)";109;
2801043;"Bisztynek (3)";35;
2801052;"Górowo Iławeckie (2)";9;
2801063;"Sępopol (3)";51;
2802000;"Powiat braniewski";194;
2802011;"Braniewo (1)";26;
2802022;"Braniewo (2)";50;
2802033;"Frombork (3)";30;
2802042;"Lelkowo (2)";25;
2802053;"Pieniężno (3)";20;
2802062;"Płoskinia (2)";20;
2802072;"Wilczęta (2)";23;
2803000;"Powiat działdowski";304;
2803011;"Działdowo (1)";76;
2803022;"Działdowo (2)";48;
2803032;"Iłowo-Osada (2)";34;
2803043;"Lidzbark (3)";44;
2803052;"Płośnica (2)";44;
2803062;"Rybno (2)";58;
2804000;"Powiat elbląski";435;
2804012;"Elbląg (2)";62;
2804022;"Godkowo (2)";39;
2804032;"Gronowo Elbląskie (2)";25;
2804042;"Markusy (2)";59;
2804052;"Milejewo (2)";19;
2804063;"Młynary (3)";44;
2804073;"Pasłęk (3)";81;
2804082;"Rychliki (2)";39;
2804093;"Tolkmicko (3)";67;
2805000;"Powiat ełcki";373;
2805011;"Ełk (1)";124;
2805022;"Ełk (2)";133;
2805032;"Kalinowo (2)";48;
2805042;"Prostki (2)";30;
2805052;"Stare Juchy (2)";38;
2806000;"Powiat giżycki";226;
2806011;"Giżycko (1)";46;
2806042;"Giżycko (2)";89;
2806052;"Kruklanki (2)";17;
2806062;"Miłki (2)";23;
2806083;"Ryn (3)";16;
2806102;"Wydminy (2)";35;
2807000;"Powiat iławski";385;
2807011;"Iława (1)";70;
2807021;"Lubawa (1)";3;
2807032;"Iława (2)";70;
2807043;"Kisielice (3)";49;
2807052;"Lubawa (2)";25;
2807063;"Susz (3)";134;
2807073;"Zalewo (3)";34;
2808000;"Powiat kętrzyński";248;
2808011;"Kętrzyn (1)";51;
2808022;"Barciany (2)";52;
2808032;"Kętrzyn (2)";10;
2808043;"Korsze (3)";39;
2808053;"Reszel (3)";69;
2808062;"Srokowo (2)";27;
2809000;"Powiat lidzbarski";265;
2809011;"Lidzbark Warmiński (1)";7;
2809022;"Kiwity (2)";44;
2809032;"Lidzbark Warmiński (2)";129;
2809042;"Lubomino (2)";10;
2809053;"Orneta (3)";75;
2810000;"Powiat mrągowski";195;
2810011;"Mrągowo (1)";78;
2810023;"Mikołajki (3)";49;
2810032;"Mrągowo (2)";3;
2810042;"Piecki (2)";44;
2810052;"Sorkwity (2)";21;
2811000;"Powiat nidzicki";147;
2811012;"Janowiec Kościelny (2)";61;
2811022;"Janowo (2)";20;
2811032;"Kozłowo (2)";41;
2811043;"Nidzica (3)";25;
2812000;"Powiat nowomiejski";157;
2812011;"Nowe Miasto Lubawskie (1)";13;
2812022;"Biskupiec (2)";42;
2812032;"Grodziczno (2)";18;
2812042;"Kurzętnik (2)";63;
2812052;"Nowe Miasto Lubawskie (2)";21;
2813000;"Powiat olecki";161;
2813032;"Kowale Oleckie (2)";51;
2813043;"Olecko (3)";66;
2813052;"Świętajno (2)";21;
2813062;"Wieliczki (2)";23;
2814000;"Powiat olsztyński";781;
2814013;"Barczewo (3)";34;
2814023;"Biskupiec (3)";26;
2814033;"Dobre Miasto (3)";58;
2814042;"Dywity (2)";121;
2814052;"Gietrzwałd (2)";73;
2814063;"Jeziorany (3)";59;
2814072;"Jonkowo (2)";78;
2814082;"Kolno (2)";20;
2814093;"Olsztynek (3)";77;
2814102;"Purda (2)";143;
2814112;"Stawiguda (2)";61;
2814122;"Świątki (2)";31;
2815000;"Powiat ostródzki";383;
2815011;"Ostróda (1)";83;
2815022;"Dąbrówno (2)";25;
2815032;"Grunwald (2)";22;
2815042;"Łukta (2)";24;
2815052;"Małdyty (2)";71;
2815063;"Miłakowo (3)";44;
2815073;"Miłomłyn (3)";12;
2815083;"Morąg (3)";87;
2815092;"Ostróda (2)";15;
2816000;"Powiat piski";110;
2816013;"Biała Piska (3)";18;
2816023;"Orzysz (3)";21;
2816033;"Pisz (3)";57;
2816043;"Ruciane-Nida (3)";14;
2817000;"Powiat szczycieński";269;
2817011;"Szczytno (1)";72;
2817022;"Dźwierzuty (2)";32;
2817032;"Jedwabno (2)";27;
2817043;"Pasym (3)";32;
2817052;"Rozogi (2)";21;
2817062;"Szczytno (2)";29;
2817072;"Świętajno (2)";22;
2817083;"Wielbark (3)";34;
2818000;"Powiat gołdapski";198;
2818012;"Banie Mazurskie (2)";97;
2818022;"Dubeninki (2)";19;
2818033;"Gołdap (3)";82;
2819000;"Powiat węgorzewski";128;
2819012;"Budry (2)";43;
2819022;"Pozezdrze (2)";9;
2819033;"Węgorzewo (3)";76;
2861000;"Powiat m.Elbląg";383;
2861011;"Elbląg (1)";383;
2862000;"Powiat m.Olsztyn";434;
2862011;"Olsztyn (1)";434;
3000000;"WIELKOPOLSKIE";15875;
3001000;"Powiat chodzieski";288;
3001011;"Chodzież (1)";76;
3001022;"Budzyń (2)";45;
3001032;"Chodzież (2)";83;
3001043;"Margonin (3)";33;
3001053;"Szamocin (3)";51;
3002000;"Powiat czarnkowsko-trzcianecki";390;
3002011;"Czarnków (1)";26;
3002022;"Czarnków (2)";118;
3002032;"Drawsko (2)";11;
3002043;"Krzyż Wielkopolski (3)";12;
3002052;"Lubasz (2)";59;
3002062;"Połajewo (2)";11;
3002073;"Trzcianka (3)";107;
3002083;"Wieleń (3)";46;
3003000;"Powiat gnieźnieński";822;
3003011;"Gniezno (1)";243;
3003023;"Czerniejewo (3)";59;
3003032;"Gniezno (2)";152;
3003042;"Kiszkowo (2)";41;
3003053;"Kłecko (3)";63;
3003062;"Łubowo (2)";46;
3003072;"Mieleszyn (2)";27;
3003082;"Niechanowo (2)";56;
3003093;"Trzemeszno (3)";79;
3003103;"Witkowo (3)";56;
3004000;"Powiat gostyński";299;
3004013;"Borek Wielkopolski (3)";33;
3004023;"Gostyń (3)";108;
3004033;"Krobia (3)";56;
3004042;"Pępowo (2)";21;
3004052;"Piaski (2)";41;
3004063;"Pogorzela (3)";18;
3004073;"Poniec (3)";22;
3005000;"Powiat grodziski";110;
3005012;"Granowo (2)";8;
3005023;"Grodzisk Wielkopolski (3)";5;
3005032;"Kamieniec (2)";19;
3005043;"Rakoniewice (3)";51;
3005053;"Wielichowo (3)";27;
3006000;"Powiat jarociński";445;
3006013;"Jaraczewo (3)";66;
3006023;"Jarocin (3)";265;
3006032;"Kotlin (2)";30;
3006043;"Żerków (3)";84;
3007000;"Powiat kaliski";657;
3007012;"Blizanów (2)";83;
3007022;"Brzeziny (2)";42;
3007032;"Ceków-Kolonia (2)";20;
3007042;"Godziesze Wielkie (2)";66;
3007052;"Koźminek (2)";38;
3007062;"Lisków (2)";53;
3007072;"Mycielin (2)";30;
3007083;"Opatówek (3)";18;
3007093;"Stawiszyn (3)";14;
3007102;"Szczytniki (2)";29;
3007112;"Żelazków (2)";264;
3008000;"Powiat kępiński";247;
3008012;"Baranów (2)";36;
3008022;"Bralin (2)";30;
3008033;"Kępno (3)";57;
3008042;"Łęka Opatowska (2)";34;
3008052;"Perzów (2)";22;
3008062;"Rychtal (2)";19;
3008072;"Trzcinica (2)";49;
3009000;"Powiat kolski";714;
3009011;"Koło (1)";39;
3009022;"Babiak (2)";71;
3009032;"Chodów (2)";12;
3009043;"Dąbie (3)";104;
3009052;"Grzegorzew (2)";113;
3009063;"Kłodawa (3)";51;
3009072;"Koło (2)";87;
3009082;"Kościelec (2)";25;
3009092;"Olszówka (2)";73;
3009102;"Osiek Mały (2)";116;
3009113;"Przedecz (3)";23;
3010000;"Powiat koniński";1057;
3010013;"Golina (3)";45;
3010022;"Grodziec (2)";82;
3010032;"Kazimierz Biskupi (2)";111;
3010043;"Kleczew (3)";82;
3010052;"Kramsk (2)";138;
3010062;"Krzymów (2)";74;
3010073;"Rychwał (3)";124;
3010082;"Rzgów (2)";46;
3010092;"Skulsk (2)";15;
3010103;"Sompolno (3)";50;
3010112;"Stare Miasto (2)";65;
3010123;"Ślesin (3)";185;
3010132;"Wierzbinek (2)";14;
3010142;"Wilczyn (2)";26;
3011000;"Powiat kościański";205;
3011011;"Kościan (1)";9;
3011023;"Czempiń (3)";9;
3011032;"Kościan (2)";65;
3011043;"Krzywiń (3)";27;
3011053;"Śmigiel (3)";95;
3012000;"Powiat krotoszyński";396;
3012011;"Sulmierzyce (1)";7;
3012023;"Kobylin (3)";22;
3012033;"Koźmin Wielkopolski (3)";74;
3012043;"Krotoszyn (3)";167;
3012052;"Rozdrażew (2)";79;
3012063;"Zduny (3)";47;
3013000;"Powiat leszczyński";172;
3013012;"Krzemieniewo (2)";37;
3013022;"Lipno (2)";22;
3013033;"Osieczna (3)";38;
3013043;"Rydzyna (3)";15;
3013052;"Święciechowa (2)";26;
3013062;"Wijewo (2)";14;
3013072;"Włoszakowice (2)";20;
3014000;"Powiat międzychodzki";174;
3014012;"Chrzypsko Wielkie (2)";36;
3014022;"Kwilcz (2)";37;
3014033;"Międzychód (3)";69;
3014043;"Sieraków (3)";32;
3015000;"Powiat nowotomyski";150;
3015012;"Kuślin (2)";18;
3015023;"Lwówek (3)";21;
3015032;"Miedzichowo (2)";21;
3015043;"Nowy Tomyśl (3)";39;
3015053;"Opalenica (3)";32;
3015063;"Zbąszyń (3)";19;
3016000;"Powiat obornicki";272;
3016013;"Oborniki (3)";205;
3016023;"Rogoźno (3)";25;
3016032;"Ryczywół (2)";42;
3017000;"Powiat ostrowski";790;
3017011;"Ostrów Wielkopolski (1)";341;
3017023;"Nowe Skalmierzyce (3)";41;
3017033;"Odolanów (3)";76;
3017042;"Ostrów Wielkopolski (2)";141;
3017052;"Przygodzice (2)";118;
3017063;"Raszków (3)";11;
3017072;"Sieroszewice (2)";44;
3017082;"Sośnie (2)";18;
3018000;"Powiat ostrzeszowski";252;
3018012;"Czajków (2)";20;
3018022;"Doruchów (2)";35;
3018033;"Grabów nad Prosną (3)";54;
3018042;"Kobyla Góra (2)";41;
3018052;"Kraszewice (2)";34;
3018063;"Mikstat (3)";18;
3018073;"Ostrzeszów (3)";50;
3019000;"Powiat pilski";508;
3019011;"Piła (1)";252;
3019022;"Białośliwie (2)";9;
3019032;"Kaczory (2)";38;
3019043;"Łobżenica (3)";35;
3019052;"Miasteczko Krajeńskie (2)";24;
3019062;"Szydłowo (2)";63;
3019073;"Ujście (3)";18;
3019083;"Wyrzysk (3)";40;
3019093;"Wysoka (3)";29;
3020000;"Powiat pleszewski";326;
3020013;"Chocz (3)";27;
3020022;"Czermin (2)";46;
3020033;"Dobrzyca (3)";60;
3020042;"Gizałki (2)";63;
3020052;"Gołuchów (2)";43;
3020063;"Pleszew (3)";87;
3021000;"Powiat poznański";1960;
3021011;"Luboń (1)";93;
3021021;"Puszczykowo (1)";30;
3021033;"Buk (3)";35;
3021042;"Czerwonak (2)";142;
3021052;"Dopiewo (2)";95;
3021062;"Kleszczewo (2)";102;
3021072;"Komorniki (2)";143;
3021083;"Kostrzyn (3)";100;
3021093;"Kórnik (3)";213;
3021103;"Mosina (3)";123;
3021113;"Murowana Goślina (3)";91;
3021123;"Pobiedziska (3)";132;
3021132;"Rokietnica (2)";108;
3021143;"Stęszew (3)";49;
3021152;"Suchy Las (2)";95;
3021163;"Swarzędz (3)";195;
3021172;"Tarnowo Podgórne (2)";214;
3022000;"Powiat rawicki";276;
3022013;"Bojanowo (3)";34;
3022023;"Jutrosin (3)";17;
3022033;"Miejska Górka (3)";28;
3022042;"Pakosław (2)";59;
3022053;"Rawicz (3)";138;
3023000;"Powiat słupecki";331;
3023011;"Słupca (1)";9;
3023022;"Lądek (2)";31;
3023032;"Orchowo (2)";15;
3023042;"Ostrowite (2)";18;
3023052;"Powidz (2)";17;
3023062;"Słupca (2)";120;
3023072;"Strzałkowo (2)";43;
3023083;"Zagórów (3)";78;
3024000;"Powiat szamotulski";368;
3024011;"Obrzycko (1)";1;
3024022;"Duszniki (2)";98;
3024032;"Kaźmierz (2)";52;
3024042;"Obrzycko (2)";27;
3024053;"Ostroróg (3)";29;
3024063;"Pniewy (3)";75;
3024073;"Szamotuły (3)";32;
3024083;"Wronki (3)";54;
3025000;"Powiat średzki";374;
3025012;"Dominowo (2)";46;
3025022;"Krzykosy (2)";40;
3025032;"Nowe Miasto nad Wartą (2)";30;
3025043;"Środa Wielkopolska (3)";203;
3025052;"Zaniemyśl (2)";55;
3026000;"Powiat śremski";239;
3026012;"Brodnica (2)";22;
3026023;"Dolsk (3)";40;
3026033;"Książ Wielkopolski (3)";23;
3026043;"Śrem (3)";154;
3027000;"Powiat turecki";505;
3027011;"Turek (1)";35;
3027022;"Brudzew (2)";91;
3027033;"Dobra (3)";50;
3027042;"Kawęczyn (2)";42;
3027052;"Malanów (2)";59;
3027062;"Przykona (2)";24;
3027073;"Tuliszków (3)";93;
3027082;"Turek (2)";56;
3027092;"Władysławów (2)";55;
3028000;"Powiat wągrowiecki";553;
3028011;"Wągrowiec (1)";130;
3028022;"Damasławek (2)";51;
3028033;"Gołańcz (3)";48;
3028042;"Mieścisko (2)";69;
3028053;"Skoki (3)";25;
3028062;"Wapno (2)";20;
3028072;"Wągrowiec (2)";210;
3029000;"Powiat wolsztyński";159;
3029012;"Przemęt (2)";49;
3029022;"Siedlec (2)";46;
3029033;"Wolsztyn (3)";64;
3030000;"Powiat wrzesiński";349;
3030012;"Kołaczkowo (2)";37;
3030023;"Miłosław (3)";52;
3030033;"Nekla (3)";17;
3030043;"Pyzdry (3)";25;
3030053;"Września (3)";218;
3031000;"Powiat złotowski";322;
3031011;"Złotów (1)";16;
3031023;"Jastrowie (3)";40;
3031033;"Krajenka (3)";25;
3031042;"Lipka (2)";59;
3031053;"Okonek (3)";51;
3031062;"Tarnówka (2)";19;
3031072;"Zakrzewo (2)";30;
3031082;"Złotów (2)";82;
3061000;"Powiat m.Kalisz";347;
3061011;"Kalisz (1)";347;
3062000;"Powiat m.Konin";249;
3062011;"Konin (1)";249;
3063000;"Powiat m.Leszno";191;
3063011;"Leszno (1)";191;
3064000;"Powiat m.Poznań";1378;
3064011;"Poznań (1)";1378;
3200000;"ZACHODNIOPOMORSKIE";6942;
3201000;"Powiat białogardzki";243;
3201011;"Białogard (1)";71;
3201022;"Białogard (2)";82;
3201033;"Karlino (3)";50;
3201043;"Tychowo (3)";40;
3202000;"Powiat choszczeński";112;
3202012;"Bierzwnik (2)";22;
3202023;"Choszczno (3)";8;
3202033;"Drawno (3)";24;
3202042;"Krzęcin (2)";6;
3202053;"Pełczyce (3)";26;
3202063;"Recz (3)";26;
3203000;"Powiat drawski";256;
3203013;"Czaplinek (3)";85;
3203023;"Drawsko Pomorskie (3)";80;
3203033;"Kalisz Pomorski (3)";39;
3203052;"Wierzchowo (2)";24;
3203063;"Złocieniec (3)";28;
3204000;"Powiat goleniowski";441;
3204023;"Goleniów (3)";215;
3204033;"Maszewo (3)";74;
3204043;"Nowogard (3)";68;
3204052;"Osina (2)";21;
3204062;"Przybiernów (2)";26;
3204073;"Stepnica (3)";37;
3205000;"Powiat gryficki";199;
3205012;"Brojce (2)";64;
3205023;"Gryfice (3)";31;
3205032;"Karnice (2)";39;
3205043;"Płoty (3)";39;
3205072;"Rewal (2)";12;
3205083;"Trzebiatów (3)";14;
3206000;"Powiat gryfiński";466;
3206012;"Banie (2)";27;
3206023;"Cedynia (3)";27;
3206033;"Chojna (3)";51;
3206043;"Gryfino (3)";173;
3206053;"Mieszkowice (3)";40;
3206063;"Moryń (3)";15;
3206072;"Stare Czarnowo (2)";42;
3206083;"Trzcińsko-Zdrój (3)";27;
3206092;"Widuchowa (2)";64;
3207000;"Powiat kamieński";181;
3207013;"Dziwnów (3)";20;
3207023;"Golczewo (3)";27;
3207033;"Kamień Pomorski (3)";60;
3207043;"Międzyzdroje (3)";33;
3207052;"Świerzno (2)";14;
3207063;"Wolin (3)";27;
3208000;"Powiat kołobrzeski";433;
3208011;"Kołobrzeg (1)";150;
3208022;"Dygowo (2)";45;
3208033;"Gościno (3)";60;
3208042;"Kołobrzeg (2)";87;
3208052;"Rymań (2)";37;
3208062;"Siemyśl (2)";18;
3208072;"Ustronie Morskie (2)";36;
3209000;"Powiat koszaliński";416;
3209012;"Będzino (2)";64;
3209022;"Biesiekierz (2)";57;
3209033;"Bobolice (3)";47;
3209042;"Manowo (2)";34;
3209053;"Mielno (3)";47;
3209063;"Polanów (3)";44;
3209073;"Sianów (3)";67;
3209082;"Świeszyno (2)";56;
3210000;"Powiat myśliborski";148;
3210013;"Barlinek (3)";26;
3210022;"Boleszkowice (2)";14;
3210033;"Dębno (3)";47;
3210043;"Myślibórz (3)";56;
3210052;"Nowogródek Pomorski (2)";5;
3211000;"Powiat policki";332;
3211012;"Dobra (Szczecińska) (2)";104;
3211022;"Kołbaskowo (2)";75;
3211033;"Nowe Warpno (3)";11;
3211043;"Police (3)";142;
3212000;"Powiat pyrzycki";161;
3212012;"Bielice (2)";18;
3212022;"Kozielice (2)";14;
3212033;"Lipiany (3)";16;
3212042;"Przelewice (2)";29;
3212053;"Pyrzyce (3)";56;
3212062;"Warnice (2)";28;
3213000;"Powiat sławieński";288;
3213011;"Darłowo (1)";24;
3213021;"Sławno (1)";21;
3213032;"Darłowo (2)";91;
3213042;"Malechowo (2)";48;
3213052;"Postomino (2)";92;
3213062;"Sławno (2)";12;
3214000;"Powiat stargardzki";602;
3214011;"Stargard (1)";224;
3214023;"Chociwel (3)";22;
3214033;"Dobrzany (3)";47;
3214042;"Dolice (2)";25;
3214053;"Ińsko (3)";18;
3214062;"Kobylanka (2)";41;
3214082;"Marianowo (2)";14;
3214092;"Stara Dąbrowa (2)";49;
3214102;"Stargard (2)";134;
3214113;"Suchań (3)";28;
3215000;"Powiat szczecinecki";329;
3215011;"Szczecinek (1)";125;
3215023;"Barwice (3)";69;
3215033;"Biały Bór (3)";41;
3215043;"Borne Sulinowo (3)";53;
3215052;"Grzmiąca (2)";22;
3215062;"Szczecinek (2)";19;
3216000;"Powiat świdwiński";165;
3216011;"Świdwin (1)";7;
3216022;"Brzeżno (2)";10;
3216033;"Połczyn-Zdrój (3)";68;
3216042;"Rąbino (2)";22;
3216052;"Sławoborze (2)";23;
3216062;"Świdwin (2)";35;
3217000;"Powiat wałecki";274;
3217011;"Wałcz (1)";100;
3217023;"Człopa (3)";30;
3217033;"Mirosławiec (3)";32;
3217043;"Tuczno (3)";16;
3217052;"Wałcz (2)";96;
3218000;"Powiat łobeski";173;
3218013;"Dobra (3)";17;
3218023;"Łobez (3)";61;
3218032;"Radowo Małe (2)";27;
3218043;"Resko (3)";36;
3218053;"Węgorzyno (3)";32;
3261000;"Powiat m.Koszalin";323;
3261011;"Koszalin (1)";323;
3262000;"Powiat m.Szczecin";1238;
3262011;"Szczecin (1)";1238;
3263000;"Powiat m.Świnoujście";162;
3263011;"Świnoujście (1)";162;
