"Kod";"Nazwa";"ścieżki rowerowe na 10 tys. km2;2020;[km]";"ścieżki rowerowe na 10 tys. ludności;2020;[km]";
1005011;"Łowicz (1)";4953,0;4,16;
1005092;"Nieborów (2)";96,2;1,07;
1006000;"Powiat łódzki wschodni";944,5;6,50;
1006022;"Andrespol (2)";4118,1;7,41;
1006032;"Brójce (2)";2274,7;23,22;
1006073;"Koluszki (3)";730,0;4,85;
1006082;"Nowosolna (2)";648,4;6,78;
1006103;"Rzgów (3)";919,8;5,76;
1007000;"Powiat opoczyński";234,6;3,23;
1007023;"Drzewica (3)";363,8;4,14;
1007032;"Mniszków (2)";588,0;15,37;
1007043;"Opoczno (3)";545,5;3,08;
1007072;"Sławno (2)";185,6;3,14;
1008000;"Powiat pabianicki";558,7;2,31;
1008011;"Konstantynów Łódzki (1)";1394,5;2,07;
1008021;"Pabianice (1)";3000,9;1,55;
1008032;"Dłutów (2)";414,9;8,95;
1008052;"Ksawerów (2)";3152,5;5,61;
1008062;"Lutomiersk (2)";112,0;1,72;
1008072;"Pabianice (2)";433,3;4,89;
1009000;"Powiat pajęczański";838,5;13,23;
1009013;"Działoszyn (3)";487,9;4,78;
1009022;"Kiełczygłów (2)";424,3;9,37;
1009043;"Pajęczno (3)";114,4;1,13;
1009052;"Rząśnia (2)";4457,9;77,99;
1009082;"Sulmierzyce (2)";2187,6;40,94;
1010000;"Powiat piotrkowski";91,7;1,44;
1010062;"Moszczenica (2)";403,6;3,48;
1010093;"Sulejów (3)";286,9;3,31;
1010102;"Wola Krzysztoporska (2)";58,6;0,83;
1010113;"Wolbórz (3)";145,1;2,81;
1011000;"Powiat poddębicki";229,2;4,94;
1011033;"Poddębice (3)";467,6;6,83;
1011043;"Uniejów (3)";186,0;3,45;
1011052;"Wartkowice (2)";521,0;11,70;
1012000;"Powiat radomszczański";92,2;1,19;
1012011;"Radomsko (1)";2177,7;2,47;
1012032;"Gidle (2)";155,2;3,02;
1012053;"Kamieńsk (3)";31,1;0,51;
1013000;"Powiat rawski";287,8;3,84;
1013011;"Rawa Mazowiecka (1)";5104,9;4,25;
1013023;"Biała Rawska (3)";436,8;8,10;
1013042;"Rawa Mazowiecka (2)";134,8;2,50;
1014000;"Powiat sieradzki";260,9;3,33;
1014011;"Sieradz (1)";5603,3;6,93;
1014023;"Błaszki (3)";24,8;0,35;
1014042;"Brzeźnio (2)";171,0;3,45;
1014062;"Goszczanów (2)";16,5;0,37;
1014093;"Warta (3)";188,7;3,84;
1014113;"Złoczew (3)";213,2;3,51;
1015000;"Powiat skierniewicki";403,5;7,96;
1015012;"Bolimów (2)";590,8;16,39;
1015062;"Maków (2)";846,3;11,49;
1015072;"Nowy Kawęczyn (2)";642,9;19,86;
1015082;"Skierniewice (2)";708,3;12,18;
1015092;"Słupia (2)";219,0;3,45;
1016000;"Powiat tomaszowski";638,2;5,65;
1016011;"Tomaszów Mazowiecki (1)";6852,3;4,61;
1016042;"Czerniewice (2)";39,0;1,00;
1016052;"Inowłódz (2)";868,9;22,26;
1016062;"Lubochnia (2)";327,3;6,04;
1016072;"Rokiciny (2)";684,5;10,08;
1016082;"Rzeczyca (2)";570,8;13,45;
1016092;"Tomaszów Mazowiecki (2)";280,3;3,73;
1016102;"Ujazd (2)";742,7;9,34;
1017000;"Powiat wieluński";336,8;4,12;
1017022;"Czarnożyły (2)";373,2;5,79;
1017032;"Konopnica (2)";192,4;4,26;
1017042;"Mokrsko (2)";193,1;2,80;
1017052;"Osjaków (2)";484,7;10,34;
1017062;"Ostrówek (2)";305,8;6,93;
1017072;"Pątnów (2)";296,3;5,22;
1017093;"Wieluń (3)";1079,3;4,53;
1018000;"Powiat wieruszowski";424,5;5,84;
1018012;"Bolesławiec (2)";279,2;4,42;
1018022;"Czastary (2)";446,4;7,00;
1018032;"Galewice (2)";154,7;3,44;
1018043;"Lututów (3)";144,5;2,41;
1018052;"Łubnice (2)";937,0;14,20;
1018062;"Sokolniki (2)";112,5;1,78;
1018073;"Wieruszów (3)";1039,1;7,12;
1019000;"Powiat zduńskowolski";1830,8;10,23;
1019011;"Zduńska Wola (1)";13675,2;8,14;
1019023;"Szadek (3)";65,9;1,37;
1019032;"Zapolice (2)";626,5;9,73;
1019042;"Zduńska Wola (2)";2499,8;22,78;
1020000;"Powiat zgierski";345,0;1,78;
1020011;"Głowno (1)";1562,5;2,22;
1020021;"Ozorków (1)";4398,4;3,56;
1020031;"Zgierz (1)";1819,0;1,38;
1020052;"Głowno (2)";57,3;1,24;
1020083;"Stryków (3)";367,3;4,57;
1020092;"Zgierz (2)";276,3;3,75;
1021000;"Powiat brzeziński";47,4;0,55;
1021011;"Brzeziny (1)";787,8;1,37;
1061000;"Powiat m.Łódź";6035,8;2,63;
1061011;"Łódź (1)";6035,8;2,63;
1062000;"Powiat m.Piotrków Trybunalski";4312,9;4,01;
1062011;"Piotrków Trybunalski (1)";4312,9;4,01;
1063000;"Powiat m.Skierniewice";8352,6;6,06;
1063011;"Skierniewice (1)";8352,6;6,06;
1200000;"MAŁOPOLSKIE";508,5;2,26;
1201000;"Powiat bocheński";439,4;2,66;
1201011;"Bochnia (1)";2343,5;2,37;
1201032;"Drwinia (2)";1560,0;26,02;
1201042;"Lipnica Murowana (2)";232,2;2,48;
1201052;"Łapanów (2)";83,7;0,73;
1201072;"Rzezawa (2)";162,1;1,22;
1201082;"Trzciana (2)";158,8;1,24;
1201092;"Żegocina (2)";143,3;0,90;
1202000;"Powiat brzeski";438,6;2,78;
1202012;"Borzęcin (2)";1898,7;23,59;
1202023;"Brzesko (3)";58,4;0,17;
1202042;"Dębno (2)";294,1;1,63;
1202052;"Gnojnik (2)";491,0;3,37;
1202072;"Szczurowa (2)";51,9;0,74;
1203000;"Powiat chrzanowski";348,5;1,04;
1203022;"Babice (2)";18,5;0,11;
1203033;"Chrzanów (3)";1233,6;2,12;
1203043;"Libiąż (3)";280,4;0,72;
1203053;"Trzebinia (3)";132,8;0,42;
1204000;"Powiat dąbrowski";94,3;0,85;
1204023;"Dąbrowa Tarnowska (3)";429,3;2,36;
1205000;"Powiat gorlicki";231,8;2,06;
1205011;"Gorlice (1)";2974,9;2,60;
1205023;"Biecz (3)";570,0;3,34;
1205033;"Bobowa (3)";40,2;0,20;
1205042;"Gorlice (2)";320,9;1,91;
1205052;"Lipinki (2)";722,2;7,06;
1205072;"Moszczenica (2)";79,7;0,60;
1205092;"Sękowa (2)";61,6;2,43;
1206000;"Powiat krakowski";204,0;0,89;
1206032;"Iwanowice (2)";618,9;4,77;
1206063;"Krzeszowice (3)";129,5;0,56;
1206072;"Liszki (2)";41,6;0,17;
1206082;"Michałowice (2)";762,8;3,58;
1206113;"Skawina (3)";560,9;1,28;
1206123;"Słomniki (3)";159,3;1,33;
1206132;"Sułoszowa (2)";93,7;0,86;
1206152;"Wielka Wieś (2)";145,0;0,53;
1206162;"Zabierzów (2)";301,8;1,11;
1206172;"Zielonki (2)";638,1;1,31;
1207000;"Powiat limanowski";21,0;0,15;
1207021;"Mszana Dolna (1)";738,0;2,53;
1208000;"Powiat miechowski";211,4;2,95;
1208012;"Charsznica (2)";140,2;1,49;
1208022;"Gołcza (2)";1321,9;19,72;
1208053;"Miechów (3)";87,6;0,67;
1209000;"Powiat myślenicki";185,7;0,98;
1209013;"Dobczyce (3)";466,9;2,02;
1209033;"Myślenice (3)";228,0;0,79;
1209042;"Pcim (2)";505,8;4,04;
1209062;"Siepraw (2)";439,6;1,54;
1210000;"Powiat nowosądecki";285,8;2,04;
1210022;"Chełmiec (2)";142,9;0,55;
1210073;"Krynica-Zdrój (3)";385,9;3,37;
1210092;"Łącko (2)";458,8;3,68;
1210113;"Muszyna (3)";593,9;7,28;
1210163;"Stary Sącz (3)";2240,3;9,50;
1211000;"Powiat nowotarski";733,6;5,65;
1211011;"Nowy Targ (1)";4366,6;6,71;
1211023;"Szczawnica (3)";352,7;4,34;
1211032;"Czarny Dunajec (2)";634,9;6,11;
1211042;"Czorsztyn (2)";2606,2;21,14;
1211062;"Krościenko nad Dunajcem (2)";910,4;7,70;
1211072;"Lipnica Wielka (2)";861,0;9,65;
1211082;"Łapsze Niżne (2)";1574,1;21,17;
1211092;"Nowy Targ (2)";462,2;3,98;
1211112;"Raba Wyżna (2)";786,3;4,73;
1211123;"Rabka-Zdrój (3)";159,1;0,65;
1211142;"Szaflary (2)";792,3;3,87;
1212000;"Powiat olkuski";71,2;0,40;
1212011;"Bukowno (1)";185,8;1,20;
1212053;"Olkusz (3)";212,2;0,66;
1213000;"Powiat oświęcimski";1099,7;2,92;
1213011;"Oświęcim (1)";8133,3;6,49;
1213023;"Brzeszcze (3)";811,4;1,75;
1213043;"Kęty (3)";1025,2;2,29;
1213093;"Zator (3)";1685,1;9,42;
1214000;"Powiat proszowicki";4,8;0,05;
1214053;"Proszowice (3)";20,0;0,12;
1215000;"Powiat suski";70,0;0,57;
1215021;"Sucha Beskidzka (1)";1736,0;5,31;
1216000;"Powiat tarnowski";308,9;2,17;
1216032;"Lisia Góra (2)";163,0;1,10;
1216063;"Ryglice (3)";68,3;0,69;
1216082;"Skrzyszów (2)";999,8;6,00;
1216092;"Tarnów (2)";2006,8;6,33;
1216112;"Wierzchosławice (2)";492,3;3,43;
1216122;"Wietrzychowice (2)";165,3;2,04;
1216143;"Zakliczyn (3)";311,3;3,03;
1216153;"Żabno (3)";226,5;1,22;
1216162;"Szerzyny (2)";646,3;6,72;
1217000;"Powiat tatrzański";173,9;1,21;
1217011;"Zakopane (1)";830,8;2,61;
1217042;"Kościelisko (2)";14,6;0,23;
1217052;"Poronin (2)";119,6;0,85;
1218000;"Powiat wadowicki";122,3;0,49;
1218013;"Andrychów (3)";328,7;0,76;
1218022;"Brzeźnica (2)";120,4;0,76;
1218093;"Wadowice (3)";88,6;0,27;
1218102;"Wieprz (2)";376,2;2,24;
1219000;"Powiat wielicki";289,7;0,91;
1219012;"Biskupice (2)";194,5;0,76;
1219022;"Gdów (2)";340,3;2,01;
1219032;"Kłaj (2)";107,7;0,65;
1219043;"Niepołomice (3)";322,0;1,05;
1219053;"Wieliczka (3)";361,2;0,59;
1261000;"Powiat m.Kraków";7734,4;3,24;
1261011;"Kraków (1)";7734,4;3,24;
1262000;"Powiat m.Nowy Sącz";2935,0;2,02;
1262011;"Nowy Sącz (1)";2935,0;2,02;
1263000;"Powiat m.Tarnów";10458,7;7,04;
1263011;"Tarnów (1)";10458,7;7,04;
1400000;"MAZOWIECKIE";721,6;4,73;
1401000;"Powiat białobrzeski";165,9;3,18;
1401013;"Białobrzegi (3)";849,0;6,45;
1401032;"Radzanów (2)";484,7;10,30;
1402000;"Powiat ciechanowski";536,9;6,40;
1402011;"Ciechanów (1)";14155,0;10,57;
1402022;"Ciechanów (2)";28,5;0,56;
1402033;"Glinojeck (3)";84,5;1,67;
1402052;"Grudusk (2)";206,7;5,66;
1402072;"Opinogóra Górna (2)";489,1;11,45;
1403000;"Powiat garwoliński";63,0;0,75;
1403011;"Garwolin (1)";2355,1;2,96;
1403032;"Borowie (2)";99,7;1,53;
1403072;"Maciejowice (2)";51,7;1,31;
1403103;"Pilawa (3)";77,8;0,55;
1403143;"Żelechów (3)";68,6;0,73;
1404000;"Powiat gostyniński";273,3;3,77;
1404011;"Gostynin (1)";4321,0;7,63;
1404043;"Sanniki (3)";200,9;3,18;
1404052;"Szczawin Kościelny (2)";70,8;1,86;
1405000;"Powiat grodziski";991,7;3,73;
1405011;"Milanówek (1)";2455,4;2,00;
1405021;"Podkowa Leśna (1)";2467,9;6,58;
1405043;"Grodzisk Mazowiecki (3)";1918,1;4,12;
1405052;"Jaktorów (2)";1627,5;7,12;
1405062;"Żabia Wola (2)";94,8;1,08;
1406000;"Powiat grójecki";178,3;2,31;
1406012;"Belsk Duży (2)";74,4;1,24;
1406022;"Błędów (2)";44,8;0,82;
1406053;"Grójec (3)";486,2;2,28;
1406073;"Mogielnica (3)";269,5;4,43;
1406083;"Nowe Miasto nad Pilicą (3)";37,9;0,79;
1406113;"Warka (3)";538,9;5,69;
1407000;"Powiat kozienicki";281,6;4,33;
1407012;"Garbatka-Letnisko (2)";108,4;1,59;
1407022;"Głowaczów (2)";139,9;3,68;
1407032;"Gniewoszów (2)";35,7;0,78;
1407053;"Kozienice (3)";905,6;7,57;
1408000;"Powiat legionowski";2444,0;7,97;
1408011;"Legionowo (1)";14623,3;3,70;
1408022;"Jabłonna (2)";3379,6;10,90;
1408032;"Nieporęt (2)";3498,5;22,64;
1408043;"Serock (3)";408,0;2,93;
1408052;"Wieliszew (2)";1479,9;9,78;
1409000;"Powiat lipski";39,2;0,86;
1409033;"Lipsko (3)";81,3;1,01;
1409062;"Solec nad Wisłą (2)";138,6;3,76;
1410000;"Powiat łosicki";58,3;1,47;
1410023;"Łosice (3)";346,3;3,91;
1410042;"Platerów (2)";23,2;0,62;
1411000;"Powiat makowski";22,5;0,54;
1411011;"Maków Mazowiecki (1)";2334,6;2,51;
1412000;"Powiat miński";342,9;2,58;
1412011;"Mińsk Mazowiecki (1)";4173,0;1,34;
1412042;"Cegłów (2)";104,6;1,65;
1412052;"Dębe Wielkie (2)";115,8;0,84;
1412062;"Dobre (2)";120,1;2,51;
1412073;"Halinów (3)";2123,9;8,15;
1412102;"Latowicz (2)";8,8;0,19;
1412112;"Mińsk Mazowiecki (2)";240,4;1,72;
1412151;"Sulejówek (1)";7664,4;7,42;
1413000;"Powiat mławski";198,8;3,25;
1413011;"Mława (1)";4109,2;4,59;
1413032;"Lipowiec Kościelny (2)";52,4;1,25;
1413052;"Strzegowo (2)";317,4;9,17;
1413062;"Stupsk (2)";93,2;2,28;
1413082;"Szydłowo (2)";57,1;1,54;
1414000;"Powiat nowodworski";1062,2;9,31;
1414011;"Nowy Dwór Mazowiecki (1)";5919,9;5,82;
1414022;"Czosnów (2)";3324,3;42,82;
1414032;"Leoncin (2)";113,9;3,22;
1414043;"Nasielsk (3)";87,5;0,90;
1414052;"Pomiechówek (2)";584,3;6,60;
1414063;"Zakroczym (3)";669,5;8,02;
1415000;"Powiat ostrołęcki";1165,0;27,56;
1415012;"Baranowo (2)";1351,4;41,33;
1415022;"Czarnia (2)";1086,8;41,26;
1415032;"Czerwin (2)";1227,7;41,35;
1415042;"Goworowo (2)";1040,6;27,77;
1415052;"Kadzidło (2)";660,5;15,12;
1415062;"Lelis (2)";2143,7;43,05;
1415072;"Łyse (2)";1795,1;53,12;
1415083;"Myszyniec (3)";1225,7;26,74;
1415092;"Olszewo-Borki (2)";554,0;10,10;
1415102;"Rzekuń (2)";1023,8;12,22;
1415112;"Troszyn (2)";492,6;16,30;
1416000;"Powiat ostrowski";196,3;3,33;
1416011;"Ostrów Mazowiecka (1)";7633,6;7,65;
1416032;"Boguty-Pianki (2)";303,1;10,56;
1416052;"Małkinia Górna (2)";215,9;2,51;
1416092;"Szulborze Wielkie (2)";278,3;7,98;
1417000;"Powiat otwocki";1284,3;6,36;
1417011;"Józefów (1)";9703,1;11,19;
1417021;"Otwock (1)";7567,1;8,08;
1417032;"Celestynów (2)";528,6;4,02;
1417043;"Karczew (3)";736,2;3,77;
1417082;"Wiązowna (2)";920,5;7,05;
1418000;"Powiat piaseczyński";1000,0;3,26;
1418013;"Góra Kalwaria (3)";187,3;1,00;
1418023;"Konstancin-Jeziorna (3)";1056,2;3,37;
1418032;"Lesznowola (2)";2467,5;5,74;
1418043;"Piaseczno (3)";2105,1;3,13;
1418052;"Prażmów (2)";127,2;0,97;
1418063;"Tarczyn (3)";516,3;5,09;
1419000;"Powiat płocki";324,5;5,26;
1419022;"Bodzanów (2)";161,3;2,70;
1419032;"Brudzeń Duży (2)";275,3;5,34;
1419053;"Drobin (3)";69,7;1,28;
1419063;"Gąbin (3)";403,5;5,38;
1419072;"Łąck (2)";2585,4;45,20;
1419102;"Radzanowo (2)";19,1;0,23;
1419122;"Słupno (2)";1895,1;17,47;
1419132;"Stara Biała (2)";549,0;5,08;
1420000;"Powiat płoński";183,4;2,92;
1420011;"Płońsk (1)";9913,8;5,25;
1420032;"Baboszewo (2)";258,9;5,31;
1420062;"Joniec (2)";82,0;2,26;
1420092;"Płońsk (2)";709,2;11,23;
1421000;"Powiat pruszkowski";5326,8;7,87;
1421011;"Piastów (1)";17187,5;4,39;
1421021;"Pruszków (1)";18290,8;5,60;
1421033;"Brwinów (3)";3263,1;8,43;
1421042;"Michałowice (2)";5585,9;10,57;
1421052;"Nadarzyn (2)";5650,1;28,91;
1421062;"Raszyn (2)";614,9;1,23;
1422000;"Powiat przasnyski";562,1;13,15;
1422011;"Przasnysz (1)";7392,7;10,91;
1422023;"Chorzele (3)";420,8;15,48;
1422032;"Czernice Borowe (2)";599,1;19,11;
1422042;"Jednorożec (2)";469,3;15,52;
1422062;"Krzynowłoga Mała (2)";302,9;16,39;
1422072;"Przasnysz (2)";575,7;14,71;
1423000;"Powiat przysuski";54,9;1,07;
1423032;"Klwów (2)";138,3;3,57;
1423042;"Odrzywół (2)";60,5;1,62;
1423063;"Przysucha (3)";143,0;2,22;
1424000;"Powiat pułtuski";82,2;1,31;
1424043;"Pułtusk (3)";507,0;2,76;
1425000;"Powiat radomski";212,4;2,14;
1425011;"Pionki (1)";1902,2;1,96;
1425022;"Gózd (2)";192,4;1,65;
1425052;"Jedlińsk (2)";108,1;1,03;
1425062;"Jedlnia-Letnisko (2)";289,7;1,47;
1425072;"Kowala (2)";187,5;1,14;
1425082;"Pionki (2)";43,5;1,01;
1425092;"Przytyk (2)";104,2;1,92;
1425103;"Skaryszew (3)";221,9;2,56;
1425132;"Zakrzew (2)";1713,4;12,40;
1426000;"Powiat siedlecki";165,9;3,27;
1426022;"Korczew (2)";543,1;22,32;
1426032;"Kotuń (2)";186,1;3,30;
1426042;"Mokobody (2)";50,3;1,22;
1426053;"Mordy (3)";5,9;0,17;
1426082;"Siedlce (2)";622,6;4,71;
1426092;"Skórzec (2)";462,0;6,95;
1426112;"Wiśniew (2)";190,5;4,16;
1426132;"Zbuczyn (2)";33,2;0,70;
1427000;"Powiat sierpecki";88,0;1,46;
1427011;"Sierpc (1)";1882,7;1,97;
1427022;"Gozdowo (2)";47,5;1,01;
1427052;"Sierpc (2)";80,0;1,71;
1427062;"Szczutowo (2)";195,2;5,18;
1428000;"Powiat sochaczewski";503,5;4,36;
1428011;"Sochaczew (1)";6911,0;5,04;
1428032;"Iłów (2)";46,5;0,98;
1428082;"Teresin (2)";2080,5;15,86;
1429000;"Powiat sokołowski";381,9;8,11;
1429011;"Sokołów Podlaski (1)";14334,7;13,34;
1429042;"Jabłonna Lacka (2)";214,4;7,31;
1429053;"Kosów Lacki (3)";20,0;0,68;
1429072;"Sabnie (2)";1037,2;31,34;
1429082;"Sokołów Podlaski (2)";241,6;5,47;
1430000;"Powiat szydłowiecki";340,9;3,91;
1430012;"Chlewiska (2)";653,3;13,81;
1430053;"Szydłowiec (3)";527,8;3,94;
1432000;"Powiat warszawski zachodni";1556,8;6,92;
1432013;"Błonie (3)";2886,2;11,43;
1432022;"Izabelin (2)";1138,3;7,01;
1432042;"Leszno (2)";32,0;0,39;
1432053;"Łomianki (3)";4867,4;6,82;
1432063;"Ożarów Mazowiecki (3)";1739,9;4,74;
1432072;"Stare Babice (2)";3043,2;9,84;
1433000;"Powiat węgrowski";197,4;3,68;
1433011;"Węgrów (1)";4393,1;12,53;
1433042;"Liw (2)";383,5;8,87;
1433053;"Łochów (3)";101,9;1,12;
1434000;"Powiat wołomiński";1195,5;4,52;
1434011;"Kobyłka (1)";8146,6;6,36;
1434021;"Marki (1)";4283,0;3,04;
1434031;"Ząbki (1)";18123,9;5,16;
1434041;"Zielonka (1)";1484,7;6,75;
1434052;"Dąbrówka (2)";119,0;1,59;
1434062;"Jadów (2)";85,8;1,35;
1434072;"Klembów (2)";350,1;2,97;
1434093;"Radzymin (3)";1521,7;7,07;
1434123;"Wołomin (3)";4881,6;5,82;
1435000;"Powiat wyszkowski";818,1;9,66;
1435012;"Brańszczyk (2)";588,6;12,08;
1435022;"Długosiodło (2)";942,6;20,34;
1435032;"Rząśnik (2)";322,5;7,73;
1435042;"Somianka (2)";161,4;3,38;
1435053;"Wyszków (3)";2349,0;9,77;
1436000;"Powiat zwoleński";57,6;0,92;
1436022;"Policzna (2)";62,2;1,29;
1436042;"Tczów (2)";166,3;2,46;
1436053;"Zwoleń (3)";86,3;0,93;
1437000;"Powiat żuromiński";328,5;6,94;
1437022;"Kuczbork-Osada (2)";24,7;0,64;
1437033;"Lubowidz (3)";450,8;12,65;
1437042;"Lutocin (2)";205,6;6,19;
1437063;"Żuromin (3)";1128,5;10,57;
1438000;"Powiat żyrardowski";839,4;5,93;
1438011;"Żyrardów (1)";23414,6;8,50;
1438023;"Mszczonów (3)";480,7;6,38;
1438042;"Radziejowice (2)";219,1;2,73;
1438052;"Wiskitki (2)";146,5;2,23;
1461000;"Powiat m.Ostrołęka";8756,7;5,67;
1461011;"Ostrołęka (1)";8756,7;5,67;
1462000;"Powiat m.Płock";7269,4;5,41;
1462011;"Płock (1)";7269,4;5,41;
1463000;"Powiat m.Radom";9051,9;4,84;
1463011;"Radom (1)";9051,9;4,84;
1464000;"Powiat m.Siedlce";13308,2;5,45;
1464011;"Siedlce (1)";13308,2;5,45;
1465000;"Powiat m. st. Warszawa";13071,3;3,77;
1465011;"M.st.Warszawa od 2002 (1)";13071,3;3,77;
1600000;"OPOLSKIE";591,6;5,70;
1601000;"Powiat brzeski";251,2;2,46;
1601011;"Brzeg (1)";1026,7;0,43;
1601022;"Skarbimierz (2)";1015,3;13,40;
1601033;"Grodków (3)";248,3;3,74;
1601052;"Lubsza (2)";103,4;2,45;
1602000;"Powiat głubczycki";113,0;1,69;
1602022;"Branice (2)";205,5;3,93;
1602033;"Głubczyce (3)";173,3;2,32;
1603000;"Powiat kędzierzyńsko-kozielski";932,6;6,27;
1603011;"Kędzierzyn-Koźle (1)";2821,1;5,81;
1603022;"Bierawa (2)";413,3;6,21;
1603032;"Cisek (2)";239,2;3,06;
1603052;"Polska Cerekiew (2)";748,5;11,38;
1603062;"Reńska Wieś (2)";1253,4;14,82;
1604000;"Powiat kluczborski";288,8;3,78;
1604013;"Byczyna (3)";202,3;4,03;
1604023;"Kluczbork (3)";926,4;5,63;
1604043;"Wołczyn (3)";33,2;0,60;
1605000;"Powiat krapkowicki";670,0;4,68;
1605013;"Gogolin (3)";865,1;6,89;
1605023;"Krapkowice (3)";760,5;3,31;
1605032;"Strzeleczki (2)";340,8;5,45;
1605053;"Zdzieszowice (3)";1653,9;6,12;
1606000;"Powiat namysłowski";454,4;7,99;
1606012;"Domaszowice (2)";140,3;4,48;
1606023;"Namysłów (3)";937,4;10,38;
1606032;"Pokój (2)";233,2;6,03;
1606052;"Wilków (2)";208,5;4,82;
1607000;"Powiat nyski";589,1;5,35;
1607013;"Głuchołazy (3)";737,8;5,30;
1607033;"Korfantów (3)";16,7;0,35;
1607042;"Łambinowice (2)";32,3;0,54;
1607053;"Nysa (3)";1355,3;5,21;
1607063;"Otmuchów (3)";1334,0;18,72;
1607073;"Paczków (3)";100,0;0,64;
